/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth0dd0907 = 10000"
"netBandwidth.veth0dd0907 = 12500000"
"netFullDuplex.veth0dd0907 = full"
"netSpeed.veth1054dea = 10000"
"netBandwidth.veth1054dea = 12500000"
"netFullDuplex.veth1054dea = full"
"netSpeed.veth1fdd3a3 = 10000"
"netBandwidth.veth1fdd3a3 = 12500000"
"netFullDuplex.veth1fdd3a3 = full"
"netSpeed.veth3b5195c = 10000"
"netBandwidth.veth3b5195c = 12500000"
"netFullDuplex.veth3b5195c = full"
"netSpeed.veth431deb5 = 10000"
"netBandwidth.veth431deb5 = 12500000"
"netFullDuplex.veth431deb5 = full"
"netSpeed.veth444c3c1 = 10000"
"netBandwidth.veth444c3c1 = 12500000"
"netFullDuplex.veth444c3c1 = full"
"netSpeed.veth7e0752f = 10000"
"netBandwidth.veth7e0752f = 12500000"
"netFullDuplex.veth7e0752f = full"
"netSpeed.veth857c02e = 10000"
"netBandwidth.veth857c02e = 12500000"
"netFullDuplex.veth857c02e = full"
"netSpeed.veth8661b53 = 10000"
"netBandwidth.veth8661b53 = 12500000"
"netFullDuplex.veth8661b53 = full"
"netSpeed.veth88176e2 = 10000"
"netBandwidth.veth88176e2 = 12500000"
"netFullDuplex.veth88176e2 = full"
"netSpeed.vethb5cc02b = 10000"
"netBandwidth.vethb5cc02b = 12500000"
"netFullDuplex.vethb5cc02b = full"
"netSpeed.vethb785b46 = 10000"
"netBandwidth.vethb785b46 = 12500000"
"netFullDuplex.vethb785b46 = full"
"netSpeed.vethd1af9e3 = 10000"
"netBandwidth.vethd1af9e3 = 12500000"
"netFullDuplex.vethd1af9e3 = full"
"netSpeed.vethd30c2f4 = 10000"
"netBandwidth.vethd30c2f4 = 12500000"
"netFullDuplex.vethd30c2f4 = full"
"netSpeed.vethfd4426a = 10000"
"netBandwidth.vethfd4426a = 12500000"
"netFullDuplex.vethfd4426a = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth0dd0907,veth1054dea,veth1fdd3a3,veth3b5195c,veth431deb5,veth444c3c1,veth7e0752f,veth857c02e,veth8661b53,veth88176e2,vethb5cc02b,vethb785b46,vethd1af9e3,vethd30c2f4,vethfd4426a,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 06:56:03 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth0dd0907",,"net/veth1054dea",,"net/veth1fdd3a3",,"net/veth3b5195c",,"net/veth431deb5",,"net/veth444c3c1",,"net/veth7e0752f",,"net/veth857c02e",,"net/veth8661b53",,"net/veth88176e2",,"net/vethb5cc02b",,"net/vethb785b46",,"net/vethd1af9e3",,"net/vethd30c2f4",,"net/vethfd4426a",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556200847.358,53.196,4.272,41.456,0.411,0.0,0.665,7637460.0,4770881.0,20721272.0,4007399.0,0.0,0.0,2065254.0,6283535.0,2626868.0,6229449.0,0.0,0.0,2415321.0,6680567.0,0.0,0.0,2196672.0,6398146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43803455.0,46368738.0,0.0,171929600.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20923.0,0.0,0.0,0.0,3.0,0.0,0.0,8497045504.0,1668702208.0,20026707968.0,69755154432.0,0.0,0.0
1556200848.358,55.057,4.517,39.408,0.286,0.0,0.732,10677603.0,5722811.0,23136175.0,5754959.0,0.0,0.0,1625386.0,6961940.0,3987476.0,7528408.0,0.0,0.0,4545116.0,7931915.0,0.0,0.0,1590592.0,7263507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53111153.0,57611993.0,0.0,128102400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18914.0,0.0,0.0,0.0,0.0,0.0,0.0,8500785152.0,1668702208.0,19997396992.0,69780725760.0,0.0,0.0
1556200849.358,53.542,4.451,40.909,0.251,0.0,0.846,9410849.0,5136758.0,22075760.0,5111374.0,0.0,0.0,3070575.0,7459080.0,2055304.0,6463703.0,0.0,0.0,1957778.0,6612060.0,0.0,0.0,3178571.0,7276361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48482097.0,52393864.0,0.0,104144896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18006.0,0.0,0.0,0.0,0.0,0.0,0.0,8506929152.0,1668702208.0,20030873600.0,69741105152.0,0.0,0.0
1556200850.358,51.532,4.435,42.980,0.319,0.0,0.734,7083632.0,4753047.0,22578364.0,3467140.0,0.0,0.0,2662596.0,6820482.0,1874987.0,6961280.0,0.0,0.0,1708272.0,7126875.0,0.0,0.0,3243846.0,6607435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45305883.0,47353520.0,0.0,97693696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17307.0,0.0,0.0,0.0,0.0,0.0,0.0,8505786368.0,1668702208.0,20060770304.0,69712351232.0,0.0,0.0
1556200851.358,56.997,4.888,36.901,0.224,0.0,0.990,13553478.0,7386678.0,18438571.0,6722200.0,0.0,0.0,2025280.0,6018942.0,5437057.0,7297758.0,0.0,0.0,5843933.0,7565912.0,0.0,0.0,2297772.0,6483986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57393818.0,63017420.0,0.0,129130496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16744.0,0.0,0.0,0.0,0.0,0.0,0.0,8551366656.0,1668702208.0,20126932992.0,69600608256.0,0.0,0.0
1556200852.357,53.799,4.636,40.438,0.483,0.0,0.644,8688454.0,4803328.0,21619034.0,4844989.0,0.0,0.0,1714705.0,6283834.0,2784887.0,6383989.0,0.0,0.0,2952811.0,7696107.0,0.0,0.0,2040617.0,6299989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45954666.0,49486475.0,0.0,223260672.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21577.0,0.0,0.0,0.0,3.0,0.0,0.0,8566988800.0,1668702208.0,20180353024.0,69531566080.0,0.0,0.0
1556200853.357,51.851,4.745,42.170,0.316,0.0,0.917,9249534.0,4900857.0,22611289.0,5174437.0,0.0,0.0,2043086.0,7009334.0,2788500.0,7540165.0,0.0,0.0,2769981.0,6958149.0,0.0,0.0,2316891.0,6520542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48180822.0,52143453.0,0.0,139997184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19560.0,0.0,0.0,0.0,0.0,0.0,0.0,8577675264.0,1668702208.0,20156620800.0,69544611840.0,0.0,0.0
1556200854.358,48.771,3.718,46.534,0.315,0.0,0.662,5220020.0,3022363.0,22633094.0,3331777.0,0.0,0.0,1903099.0,6688637.0,712609.0,5865197.0,0.0,0.0,597035.0,6199715.0,0.0,0.0,2083697.0,6410288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36838102.0,38819367.0,0.0,104374272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18356.0,0.0,0.0,0.0,0.0,0.0,0.0,8577331200.0,1668702208.0,20187799552.0,69513777152.0,0.0,0.0
1556200855.357,49.984,4.232,44.766,0.318,0.0,0.700,5678979.0,3610496.0,24237515.0,3185318.0,0.0,0.0,1594552.0,6907068.0,1958493.0,7034509.0,0.0,0.0,1585400.0,6860925.0,0.0,0.0,1819576.0,7101974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41490198.0,43522015.0,0.0,138051584.0,0.0,0.0,0.0,57454592.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,9940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19254.0,0.0,0.0,0.0,105.0,0.0,0.0,8632414208.0,1668702208.0,20249178112.0,69397315584.0,0.0,0.0
1556200856.358,56.484,5.243,37.017,0.377,0.0,0.879,10874926.0,5520180.0,21100454.0,5957244.0,0.0,0.0,3328803.0,6831901.0,2566321.0,6767069.0,0.0,0.0,1899950.0,6902788.0,0.0,0.0,3631845.0,6902719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50669927.0,55417828.0,0.0,163540992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19762.0,0.0,0.0,0.0,0.0,0.0,0.0,8766279680.0,1668702208.0,20253122560.0,69259505664.0,0.0,0.0
1556200857.358,50.404,3.979,44.581,0.388,0.0,0.647,6315594.0,3868298.0,23609172.0,3676504.0,0.0,0.0,1303660.0,6768084.0,2238416.0,6885585.0,0.0,0.0,1738926.0,6968382.0,0.0,0.0,1783109.0,6525821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41825543.0,44003019.0,0.0,166100992.0,0.0,0.0,0.0,106496.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21202.0,0.0,0.0,0.0,8.0,0.0,0.0,8773169152.0,1668702208.0,20329787392.0,69175951360.0,0.0,0.0
1556200858.358,53.938,5.423,39.251,0.323,0.0,1.065,10135018.0,6145935.0,22280997.0,4752726.0,0.0,0.0,3368442.0,7581232.0,3020410.0,7116537.0,0.0,0.0,2510148.0,7354312.0,0.0,0.0,3744716.0,7392810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53158694.0,56779452.0,0.0,144396288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19558.0,0.0,0.0,0.0,0.0,0.0,0.0,8780742656.0,1668702208.0,20312498176.0,69185667072.0,0.0,0.0
1556200859.358,56.447,5.189,36.981,0.252,0.0,1.132,12775743.0,7225999.0,19981921.0,6201427.0,0.0,0.0,3654806.0,7290946.0,4366026.0,7077336.0,0.0,0.0,3876974.0,7489127.0,0.0,0.0,3233102.0,6797010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57477988.0,62519858.0,0.0,96714752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16669.0,0.0,0.0,0.0,0.0,0.0,0.0,8781209600.0,1668702208.0,20345884672.0,69151813632.0,0.0,0.0
1556200860.358,52.736,3.982,42.441,0.259,0.0,0.583,8598419.0,5153447.0,23309185.0,4332223.0,0.0,0.0,2094510.0,6999268.0,3342184.0,7268184.0,0.0,0.0,2712125.0,7427608.0,0.0,0.0,2193407.0,7307690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48924679.0,52042582.0,0.0,101761024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17872.0,0.0,0.0,0.0,0.0,0.0,0.0,8779751424.0,1668702208.0,20379267072.0,69119889408.0,0.0,0.0
1556200861.357,51.967,4.632,42.418,0.349,0.0,0.635,6654360.0,4094369.0,21418032.0,3432514.0,0.0,0.0,1654716.0,6269805.0,2567043.0,6474482.0,0.0,0.0,1974899.0,6192550.0,0.0,0.0,1780696.0,6802455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41300629.0,43619356.0,0.0,164966400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20491.0,0.0,0.0,0.0,0.0,0.0,0.0,8785063936.0,1668702208.0,20459360256.0,69034483712.0,0.0,0.0
1556200862.357,60.032,6.019,32.357,0.414,0.0,1.178,15184229.0,7509690.0,18220239.0,7588052.0,0.0,0.0,2645583.0,6916095.0,5513755.0,7688489.0,0.0,0.0,5489788.0,7398373.0,0.0,0.0,2750982.0,6053581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59957817.0,66979497.0,0.0,199852032.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18436.0,0.0,0.0,0.0,3.0,0.0,0.0,8785494016.0,1668702208.0,20505722880.0,68987691008.0,0.0,0.0
1556200863.358,51.611,4.370,42.743,0.383,0.0,0.893,6371786.0,4922142.0,21748620.0,2910187.0,0.0,0.0,2145182.0,6632266.0,2170667.0,5788542.0,0.0,0.0,2720746.0,6886364.0,0.0,0.0,2379758.0,7184524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43767154.0,45010376.0,0.0,131866624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19055.0,0.0,0.0,0.0,0.0,0.0,0.0,8785895424.0,1668702208.0,20472266752.0,69020745728.0,0.0,0.0
1556200864.358,50.369,4.235,44.562,0.257,0.0,0.577,5788661.0,3787382.0,23032382.0,3012721.0,0.0,0.0,2043579.0,6459341.0,1608089.0,6825058.0,0.0,0.0,1477014.0,7001195.0,0.0,0.0,2096808.0,6520429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40855726.0,42635591.0,0.0,102600704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18136.0,0.0,0.0,0.0,0.0,0.0,0.0,8785133568.0,1668702208.0,20504387584.0,68989386752.0,0.0,0.0
1556200865.358,53.765,4.671,40.261,0.350,0.0,0.953,8576034.0,4828807.0,23083340.0,4788206.0,0.0,0.0,2096035.0,7016786.0,2711281.0,7160335.0,0.0,0.0,2691105.0,7191430.0,0.0,0.0,1991880.0,6773017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47379583.0,50774153.0,0.0,140189696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19814.0,0.0,0.0,0.0,0.0,0.0,0.0,8786337792.0,1668702208.0,20565897216.0,68926672896.0,0.0,0.0
1556200866.358,55.179,4.188,39.610,0.320,0.0,0.703,6614579.0,4155804.0,23930192.0,3461604.0,0.0,0.0,2524574.0,7323939.0,1340921.0,6479408.0,0.0,0.0,1446973.0,6892054.0,0.0,0.0,2754228.0,7512380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43939916.0,46141610.0,0.0,172404736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21153.0,0.0,0.0,0.0,0.0,0.0,0.0,8789250048.0,1668702208.0,20642979840.0,68846678016.0,0.0,0.0
1556200867.358,51.324,4.530,43.381,0.319,0.0,0.447,5610395.0,3504357.0,23052715.0,3000774.0,0.0,0.0,1947473.0,7364434.0,1374664.0,6503422.0,0.0,0.0,1233907.0,6350288.0,0.0,0.0,2075720.0,6544551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39692508.0,41815852.0,0.0,135163904.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,19203.0,0.0,0.0,0.0,3.0,0.0,0.0,8792674304.0,1668702208.0,20624719872.0,68861513728.0,0.0,0.0
1556200868.358,54.374,4.311,40.308,0.378,0.0,0.629,7386460.0,4310511.0,21494954.0,3932663.0,0.0,0.0,2279465.0,6750863.0,1748431.0,6129969.0,0.0,0.0,1842334.0,6554559.0,0.0,0.0,2508977.0,6414293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42770765.0,45331390.0,0.0,167858176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20537.0,0.0,0.0,0.0,0.0,0.0,0.0,8856399872.0,1668702208.0,20709269504.0,68713238528.0,0.0,0.0
1556200869.358,59.206,4.635,35.016,0.254,0.0,0.889,14434681.0,7086355.0,19068924.0,7585620.0,0.0,0.0,4309155.0,7258501.0,2964051.0,6806172.0,0.0,0.0,2954610.0,6521636.0,0.0,0.0,4767311.0,7300105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57946915.0,64635781.0,0.0,99442688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15988.0,0.0,0.0,0.0,0.0,0.0,0.0,8916090880.0,1668702208.0,20660387840.0,68702429184.0,0.0,0.0
1556200870.358,55.552,5.030,38.342,0.285,0.0,0.791,10441175.0,6345313.0,21344093.0,5060871.0,0.0,0.0,4449084.0,7280209.0,2179531.0,6465645.0,0.0,0.0,2029601.0,7074209.0,0.0,0.0,4458127.0,7791396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53297994.0,57007663.0,0.0,97525760.0,0.0,0.0,0.0,59060224.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,10404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16939.0,0.0,0.0,0.0,114.0,0.0,0.0,8924352512.0,1668702208.0,20693405696.0,68661149696.0,0.0,0.0
1556200871.357,52.641,4.126,42.388,0.313,0.0,0.531,5389684.0,3468122.0,20815742.0,2929866.0,0.0,0.0,1284485.0,6045667.0,1933741.0,6167889.0,0.0,0.0,1554433.0,6156353.0,0.0,0.0,1688301.0,5814643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36986328.0,38779094.0,0.0,144310272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19529.0,0.0,0.0,0.0,0.0,0.0,0.0,8938012672.0,1668702208.0,20759547904.0,68581347328.0,0.0,0.0
1556200872.357,55.538,4.607,38.782,0.505,0.0,0.568,7208206.0,3802833.0,24242349.0,3806280.0,0.0,0.0,1532473.0,7247785.0,2226232.0,7189079.0,0.0,0.0,2070241.0,6647015.0,0.0,0.0,1741924.0,7520045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43905859.0,46953777.0,0.0,221696000.0,0.0,0.0,0.0,118784.0,0.0,0.0,0.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21603.0,0.0,0.0,0.0,8.0,0.0,0.0,8950337536.0,1668702208.0,20804591616.0,68523978752.0,0.0,0.0
1556200873.358,55.694,4.698,38.457,0.373,0.0,0.778,8802064.0,5164406.0,20804798.0,4848047.0,0.0,0.0,1729998.0,6120171.0,3451406.0,6780951.0,0.0,0.0,2891220.0,7380813.0,0.0,0.0,2107281.0,6005870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46502537.0,49899700.0,0.0,150704128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19747.0,0.0,0.0,0.0,0.0,0.0,0.0,8962318336.0,1668702208.0,20783824896.0,68532764672.0,0.0,0.0
1556200874.358,54.631,4.259,40.271,0.194,0.0,0.645,7872644.0,4783435.0,24163330.0,4037736.0,0.0,0.0,2272473.0,7779201.0,2632215.0,7245961.0,0.0,0.0,1905913.0,6739825.0,0.0,0.0,2625242.0,7694344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47677253.0,50589541.0,0.0,105476096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18460.0,0.0,0.0,0.0,0.0,0.0,0.0,8994086912.0,1668702208.0,20816297984.0,68468523008.0,0.0,0.0
1556200875.358,57.010,4.244,37.685,0.322,0.0,0.740,9208969.0,5653533.0,21035644.0,4240885.0,0.0,0.0,2015885.0,6742869.0,3860375.0,7000695.0,0.0,0.0,3389939.0,7404924.0,0.0,0.0,2296330.0,6213084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49229863.0,52157730.0,0.0,113942528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17449.0,0.0,0.0,0.0,0.0,0.0,0.0,9012035584.0,1668702208.0,20859928576.0,68406943744.0,0.0,0.0
1556200876.358,57.878,4.892,36.182,0.349,0.0,0.699,10929963.0,6361235.0,19139413.0,5368652.0,0.0,0.0,3724437.0,6827706.0,2810599.0,5758924.0,0.0,0.0,2438653.0,6677748.0,0.0,0.0,4254214.0,7192455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51682830.0,55814086.0,0.0,160538624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,18412.0,0.0,0.0,0.0,0.0,0.0,0.0,9028833280.0,1668702208.0,20951535616.0,68298539008.0,0.0,0.0
1556200877.357,53.092,3.869,42.309,0.222,0.0,0.507,5086631.0,3252969.0,23659924.0,2920750.0,0.0,0.0,1305981.0,6763282.0,1700112.0,6846009.0,0.0,0.0,1304355.0,6754742.0,0.0,0.0,1668266.0,6311914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38750886.0,40451991.0,0.0,127942656.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19298.0,0.0,0.0,0.0,3.0,0.0,0.0,9036820480.0,1668702208.0,20907081728.0,68335005696.0,0.0,0.0
1556200878.358,56.298,4.795,37.948,0.448,0.0,0.512,7491504.0,5207379.0,19617202.0,3210286.0,0.0,0.0,2371151.0,5968112.0,2711256.0,6353299.0,0.0,0.0,2144005.0,6651733.0,0.0,0.0,3325817.0,6335443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44430897.0,46380996.0,0.0,158433280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18918.0,0.0,0.0,0.0,0.0,0.0,0.0,9044324352.0,1668702208.0,20996726784.0,68237856768.0,0.0,0.0
1556200879.358,52.119,3.605,43.454,0.316,0.0,0.506,4040270.0,2945141.0,24006414.0,2166440.0,0.0,0.0,1133549.0,6911067.0,1709373.0,6389976.0,0.0,0.0,1236184.0,6803943.0,0.0,0.0,1253840.0,6514391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37007187.0,37961754.0,0.0,142368768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19949.0,0.0,0.0,0.0,0.0,0.0,0.0,9049378816.0,1668702208.0,20967067648.0,68262461440.0,0.0,0.0
1556200880.358,53.851,3.946,41.383,0.221,0.0,0.600,5949046.0,3840850.0,22596430.0,3030917.0,0.0,0.0,1683801.0,6551796.0,2197818.0,6847126.0,0.0,0.0,1717576.0,6468658.0,0.0,0.0,1820374.0,6670529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40843472.0,42730723.0,0.0,97349632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17210.0,0.0,0.0,0.0,0.0,0.0,0.0,9048530944.0,1668702208.0,20999196672.0,68231180288.0,0.0,0.0
