/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth165e084 = 10000"
"netBandwidth.veth165e084 = 12500000"
"netFullDuplex.veth165e084 = full"
"netSpeed.veth476bbe7 = 10000"
"netBandwidth.veth476bbe7 = 12500000"
"netFullDuplex.veth476bbe7 = full"
"netSpeed.veth71caa76 = 10000"
"netBandwidth.veth71caa76 = 12500000"
"netFullDuplex.veth71caa76 = full"
"netSpeed.veth9720a50 = 10000"
"netBandwidth.veth9720a50 = 12500000"
"netFullDuplex.veth9720a50 = full"
"netSpeed.vetha7962eb = 10000"
"netBandwidth.vetha7962eb = 12500000"
"netFullDuplex.vetha7962eb = full"
"netSpeed.vethb741a0c = 10000"
"netBandwidth.vethb741a0c = 12500000"
"netFullDuplex.vethb741a0c = full"
"netSpeed.vethd8d6539 = 10000"
"netBandwidth.vethd8d6539 = 12500000"
"netFullDuplex.vethd8d6539 = full"
"netSpeed.vethfb15e38 = 10000"
"netBandwidth.vethfb15e38 = 12500000"
"netFullDuplex.vethfb15e38 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth165e084,veth476bbe7,veth71caa76,veth9720a50,vetha7962eb,vethb741a0c,vethd8d6539,vethfb15e38,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 06:24:52 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth165e084",,"net/veth476bbe7",,"net/veth71caa76",,"net/veth9720a50",,"net/vetha7962eb",,"net/vethb741a0c",,"net/vethd8d6539",,"net/vethfb15e38",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556198980.689,48.906,7.143,41.474,0.290,0.0,2.188,10817256.0,5629863.0,2809510.0,7774062.0,2688339.0,7761878.0,2774087.0,7746353.0,0.0,0.0,2686043.0,7772142.0,24940000.0,6708354.0,0.0,0.0,0.0,0.0,54687774.0,59849719.0,0.0,125263872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19713.0,0.0,0.0,0.0,0.0,0.0,0.0,8022949888.0,1668136960.0,19526336512.0,70730186752.0,0.0,0.0
1556198981.689,53.824,7.874,35.205,0.839,0.0,2.259,10908367.0,5561508.0,2761524.0,7789794.0,2654154.0,7838236.0,2795559.0,7808947.0,0.0,0.0,2672257.0,7804477.0,25236885.0,6785168.0,0.0,0.0,0.0,0.0,54901881.0,60099746.0,0.0,384323584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24549.0,0.0,0.0,0.0,0.0,0.0,0.0,8023564288.0,1668136960.0,19825831936.0,70430076928.0,0.0,0.0
1556198982.689,50.706,7.863,39.024,0.481,0.0,1.926,10680146.0,5636473.0,2777512.0,7698095.0,2681138.0,7676465.0,2809035.0,7705374.0,0.0,0.0,2657904.0,7691994.0,24618505.0,6592305.0,0.0,0.0,0.0,0.0,54157976.0,59253479.0,0.0,202366976.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22377.0,0.0,0.0,0.0,3.0,0.0,0.0,8026185728.0,1668136960.0,19595505664.0,70657781760.0,0.0,0.0
1556198983.689,49.112,7.168,41.007,0.323,0.0,2.389,10995610.0,5785129.0,2850422.0,7894512.0,2731905.0,7900416.0,2868108.0,7913035.0,0.0,0.0,2728761.0,7905667.0,25439367.0,6841315.0,0.0,0.0,0.0,0.0,55768417.0,60930500.0,0.0,119529472.0,0.0,0.0,0.0,57442304.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,10496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20682.0,0.0,0.0,0.0,114.0,0.0,0.0,8034095104.0,1668136960.0,19631075328.0,70614302720.0,0.0,0.0
1556198984.688,49.015,6.684,42.041,0.291,0.0,1.970,10915566.0,5681678.0,2849952.0,7880178.0,2723045.0,7884397.0,2815709.0,7853617.0,0.0,0.0,2681110.0,7850870.0,25283991.0,6775931.0,0.0,0.0,0.0,0.0,55346428.0,60541421.0,0.0,112410624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19523.0,0.0,0.0,0.0,0.0,0.0,0.0,8032313344.0,1668136960.0,19668369408.0,70578790400.0,0.0,0.0
1556198985.689,48.942,7.152,41.309,0.257,0.0,2.341,10793560.0,5631698.0,2790064.0,7740942.0,2661716.0,7738210.0,2828515.0,7740725.0,0.0,0.0,2695583.0,7778403.0,24938607.0,6692694.0,0.0,0.0,0.0,0.0,54684826.0,59736295.0,0.0,111071232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19295.0,0.0,0.0,0.0,0.0,0.0,0.0,8035934208.0,1668136960.0,19705438208.0,70538100736.0,0.0,0.0
1556198986.689,48.667,6.957,41.743,0.325,0.0,2.308,10793152.0,5614247.0,2811057.0,7775490.0,2696265.0,7778458.0,2791614.0,7791457.0,0.0,0.0,2656072.0,7740095.0,24943404.0,6713565.0,0.0,0.0,0.0,0.0,54663333.0,59846995.0,0.0,112197632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19386.0,0.0,0.0,0.0,0.0,0.0,0.0,8037044224.0,1668136960.0,19740565504.0,70501863424.0,0.0,0.0
1556198987.689,49.822,6.446,41.140,0.292,0.0,2.300,10954802.0,5705186.0,2814486.0,7846641.0,2672936.0,7838006.0,2862765.0,7879272.0,0.0,0.0,2741953.0,7880510.0,25265190.0,6803740.0,0.0,0.0,0.0,0.0,55390352.0,60591022.0,0.0,112418816.0,0.0,0.0,0.0,90112.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19544.0,0.0,0.0,0.0,8.0,0.0,0.0,8032391168.0,1668136960.0,19778281472.0,70468800512.0,0.0,0.0
1556198988.689,50.224,6.166,41.214,0.256,0.0,2.141,10848434.0,5652281.0,2832247.0,7832248.0,2705151.0,7816754.0,2814534.0,7808782.0,0.0,0.0,2681903.0,7802787.0,25108258.0,6718183.0,0.0,0.0,0.0,0.0,55005572.0,60153829.0,0.0,110440448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19142.0,0.0,0.0,0.0,0.0,0.0,0.0,8034279424.0,1668136960.0,19812057088.0,70433136640.0,0.0,0.0
1556198989.689,50.335,6.671,40.568,0.287,0.0,2.139,10845149.0,5636093.0,2815566.0,7694201.0,2695419.0,7729550.0,2807802.0,7680861.0,0.0,0.0,2691231.0,7692921.0,24731876.0,6717174.0,0.0,0.0,0.0,0.0,54587068.0,59665508.0,0.0,128475136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20366.0,0.0,0.0,0.0,0.0,0.0,0.0,8033099776.0,1668136960.0,19850162176.0,70396211200.0,0.0,0.0
1556198990.689,53.108,8.245,35.427,0.902,0.0,2.319,10896580.0,5502640.0,2761574.0,7966422.0,2642899.0,7911326.0,2750502.0,7947154.0,0.0,0.0,2622245.0,7936536.0,25614374.0,6772516.0,0.0,0.0,0.0,0.0,55062746.0,60480947.0,0.0,374108160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23803.0,0.0,0.0,0.0,0.0,0.0,0.0,8038592512.0,1668136960.0,20142125056.0,70098755584.0,0.0,0.0
1556198991.689,50.969,7.397,38.986,0.484,0.0,2.164,10710475.0,5557250.0,2760617.0,7737456.0,2671592.0,7747685.0,2780935.0,7739120.0,0.0,0.0,2631589.0,7724395.0,24905176.0,6637682.0,0.0,0.0,0.0,0.0,54309001.0,59391084.0,0.0,219770880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22194.0,0.0,0.0,0.0,0.0,0.0,0.0,8044580864.0,1668136960.0,19915923456.0,70318968832.0,0.0,0.0
1556198992.689,50.785,6.564,40.250,0.320,0.0,2.081,10915595.0,5781339.0,2860206.0,7826699.0,2729985.0,7782279.0,2861936.0,7787561.0,0.0,0.0,2731791.0,7804264.0,25022673.0,6754039.0,0.0,0.0,0.0,0.0,55284477.0,60362265.0,0.0,119222272.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20708.0,0.0,0.0,0.0,3.0,0.0,0.0,8045502464.0,1668136960.0,19953905664.0,70280065024.0,0.0,0.0
1556198993.689,50.292,6.327,40.720,0.292,0.0,2.369,10936801.0,5776852.0,2856851.0,7876125.0,2719277.0,7909422.0,2856193.0,7888861.0,0.0,0.0,2706758.0,7876253.0,25373092.0,6807827.0,0.0,0.0,0.0,0.0,55606306.0,60756665.0,0.0,116293632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20024.0,0.0,0.0,0.0,0.0,0.0,0.0,8042033152.0,1668136960.0,19993939968.0,70243500032.0,0.0,0.0
1556198994.689,49.568,7.173,40.890,0.320,0.0,2.049,10870865.0,5710189.0,2828140.0,7769995.0,2684127.0,7764038.0,2824480.0,7774894.0,0.0,0.0,2706659.0,7783325.0,24957106.0,6740468.0,0.0,0.0,0.0,0.0,54934623.0,60066824.0,0.0,114438144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19803.0,0.0,0.0,0.0,0.0,0.0,0.0,8041570304.0,1668136960.0,20031479808.0,70206423040.0,0.0,0.0
1556198995.689,50.193,6.274,41.281,0.290,0.0,1.963,10869951.0,5671936.0,2839047.0,7803203.0,2723276.0,7814181.0,2795052.0,7755754.0,0.0,0.0,2680976.0,7764749.0,24960558.0,6737151.0,0.0,0.0,0.0,0.0,54918508.0,60108098.0,0.0,111382528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19389.0,0.0,0.0,0.0,0.0,0.0,0.0,8040001536.0,1668136960.0,20065890304.0,70173581312.0,0.0,0.0
1556198996.689,49.488,7.079,41.160,0.256,0.0,2.018,10918422.0,5687651.0,2820973.0,7834329.0,2700754.0,7828726.0,2832799.0,7824101.0,0.0,0.0,2716033.0,7839748.0,25128979.0,6794850.0,0.0,0.0,0.0,0.0,55237013.0,60432746.0,0.0,111788032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19304.0,0.0,0.0,0.0,0.0,0.0,0.0,8040964096.0,1668136960.0,20102402048.0,70136107008.0,0.0,0.0
1556198997.689,48.787,7.216,41.220,0.319,0.0,2.458,10982284.0,5717400.0,2831201.0,7864446.0,2723825.0,7868895.0,2852880.0,7888576.0,0.0,0.0,2726613.0,7889112.0,25295891.0,6814675.0,0.0,0.0,0.0,0.0,55528891.0,60793599.0,0.0,111112192.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19256.0,0.0,0.0,0.0,3.0,0.0,0.0,8036495360.0,1668136960.0,20140691456.0,70102286336.0,0.0,0.0
1556198998.689,49.382,6.868,41.536,0.260,0.0,1.953,10837260.0,5651156.0,2821248.0,7829267.0,2689619.0,7809361.0,2804042.0,7789225.0,0.0,0.0,2670895.0,7786925.0,25108915.0,6743075.0,0.0,0.0,0.0,0.0,54933052.0,60071991.0,0.0,120377344.0,0.0,0.0,0.0,57503744.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,10192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19718.0,0.0,0.0,0.0,110.0,0.0,0.0,8046051328.0,1668136960.0,20172730368.0,70060691456.0,0.0,0.0
1556198999.689,53.981,7.898,35.0,0.828,0.0,2.293,10855240.0,5496427.0,2708762.0,7765118.0,2635564.0,7773840.0,2756443.0,7750622.0,0.0,0.0,2641982.0,7749435.0,24942570.0,6710432.0,0.0,0.0,0.0,0.0,54330488.0,59662760.0,0.0,378044416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24106.0,0.0,0.0,0.0,0.0,0.0,0.0,8050839552.0,1668136960.0,20461821952.0,69766811648.0,0.0,0.0
1556199000.689,52.014,7.769,37.372,0.543,0.0,2.302,10868838.0,5650152.0,2838971.0,7809460.0,2712793.0,7802429.0,2779810.0,7795867.0,0.0,0.0,2662172.0,7793137.0,25113940.0,6753280.0,0.0,0.0,0.0,0.0,54940118.0,60136390.0,0.0,237355008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22627.0,0.0,0.0,0.0,0.0,0.0,0.0,8052879360.0,1668136960.0,20241412096.0,69985181696.0,0.0,0.0
1556199001.689,50.502,6.580,40.583,0.259,0.0,2.075,10910506.0,5768691.0,2843930.0,7859715.0,2705932.0,7862832.0,2839361.0,7807173.0,0.0,0.0,2698145.0,7836263.0,25276101.0,6783844.0,0.0,0.0,0.0,0.0,55373426.0,60453851.0,0.0,119144448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20652.0,0.0,0.0,0.0,0.0,0.0,0.0,8045719552.0,1668136960.0,20282388480.0,69951365120.0,0.0,0.0
1556199002.688,49.083,6.948,41.364,0.322,0.0,2.284,10912337.0,5714429.0,2848529.0,7823905.0,2706917.0,7822744.0,2822446.0,7851671.0,0.0,0.0,2678667.0,7791289.0,25117752.0,6782760.0,0.0,0.0,0.0,0.0,55156174.0,60356555.0,0.0,115449856.0,0.0,0.0,0.0,94208.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19940.0,0.0,0.0,0.0,8.0,0.0,0.0,8048771072.0,1668136960.0,20319055872.0,69911646208.0,0.0,0.0
1556199003.689,48.784,7.330,41.101,0.288,0.0,2.497,10812329.0,5685175.0,2833305.0,7781141.0,2683964.0,7768013.0,2847574.0,7779750.0,0.0,0.0,2695460.0,7774432.0,24944409.0,6699533.0,0.0,0.0,0.0,0.0,54883921.0,59977972.0,0.0,113143808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19637.0,0.0,0.0,0.0,0.0,0.0,0.0,8048160768.0,1668136960.0,20356263936.0,69875048448.0,0.0,0.0
1556199004.688,48.466,6.952,41.808,0.294,0.0,2.480,10965183.0,5714197.0,2837293.0,7876135.0,2700261.0,7863994.0,2847371.0,7867370.0,0.0,0.0,2700508.0,7857108.0,25297452.0,6831670.0,0.0,0.0,0.0,0.0,55441440.0,60673154.0,0.0,111083520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19148.0,0.0,0.0,0.0,0.0,0.0,0.0,8050319360.0,1668136960.0,20388093952.0,69841059840.0,0.0,0.0
1556199005.689,48.463,7.409,41.734,0.291,0.0,2.103,10871952.0,5680775.0,2817400.0,7814608.0,2702745.0,7819524.0,2820204.0,7810233.0,0.0,0.0,2697725.0,7816078.0,25111966.0,6737997.0,0.0,0.0,0.0,0.0,55072029.0,60210601.0,0.0,112009216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19243.0,0.0,0.0,0.0,0.0,0.0,0.0,8050720768.0,1668136960.0,20426506240.0,69802246144.0,0.0,0.0
1556199006.689,49.554,6.728,41.167,0.287,0.0,2.264,10874014.0,5623870.0,2825402.0,7832991.0,2718472.0,7841826.0,2788277.0,7793444.0,0.0,0.0,2691678.0,7811328.0,25104648.0,6752210.0,0.0,0.0,0.0,0.0,55003421.0,60225432.0,0.0,109051904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18987.0,0.0,0.0,0.0,0.0,0.0,0.0,8049799168.0,1668136960.0,20461785088.0,69767888896.0,0.0,0.0
1556199007.689,49.501,6.562,41.203,0.322,0.0,2.412,10957708.0,5724765.0,2822805.0,7822947.0,2704532.0,7824176.0,2851095.0,7840238.0,0.0,0.0,2708598.0,7829876.0,25140766.0,6807585.0,0.0,0.0,0.0,0.0,55299244.0,60511229.0,0.0,113967104.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19853.0,0.0,0.0,0.0,3.0,0.0,0.0,8050130944.0,1668136960.0,20509507584.0,69719834624.0,0.0,0.0
1556199008.689,53.804,8.504,34.623,0.767,0.0,2.302,10868298.0,5540963.0,2747475.0,7776830.0,2640411.0,7812684.0,2796906.0,7812799.0,0.0,0.0,2659962.0,7804689.0,25242028.0,6749459.0,0.0,0.0,0.0,0.0,54785167.0,59961115.0,0.0,384872448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1784.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24422.0,0.0,0.0,0.0,0.0,0.0,0.0,8060137472.0,1668136960.0,20782354432.0,69436981248.0,0.0,0.0
1556199009.689,52.413,7.014,37.934,0.579,0.0,2.059,10860779.0,5558589.0,2768324.0,7796425.0,2659526.0,7756734.0,2762385.0,7778044.0,0.0,0.0,2652466.0,7779273.0,24933014.0,6722928.0,0.0,0.0,0.0,0.0,54456674.0,59819639.0,0.0,252911616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22552.0,0.0,0.0,0.0,0.0,0.0,0.0,8068218880.0,1668136960.0,20558753792.0,69652500480.0,0.0,0.0
1556199010.689,50.626,6.617,40.379,0.257,0.0,2.120,10853743.0,5727434.0,2824073.0,7808271.0,2696809.0,7809696.0,2870234.0,7835184.0,0.0,0.0,2697954.0,7814051.0,25123735.0,6743240.0,0.0,0.0,0.0,0.0,55170921.0,60279145.0,0.0,116977664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20361.0,0.0,0.0,0.0,0.0,0.0,0.0,8061845504.0,1668136960.0,20600745984.0,69616881664.0,0.0,0.0
1556199011.689,52.562,6.355,38.846,0.389,0.0,1.848,10696046.0,5619515.0,2815588.0,7717875.0,2694761.0,7718715.0,2784143.0,7692063.0,0.0,0.0,2647652.0,7674868.0,24721799.0,6582999.0,0.0,0.0,0.0,0.0,54251252.0,59267114.0,0.0,147288064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21887.0,0.0,0.0,0.0,0.0,0.0,0.0,8060547072.0,1668136960.0,20626771968.0,69592154112.0,0.0,0.0
1556199012.689,50.306,6.667,40.580,0.290,0.0,2.158,10993821.0,5793980.0,2850625.0,7932979.0,2736890.0,7939398.0,2841013.0,7924544.0,0.0,0.0,2695103.0,7927412.0,25612798.0,6876557.0,0.0,0.0,0.0,0.0,55866106.0,61030954.0,0.0,120586240.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20929.0,0.0,0.0,0.0,3.0,0.0,0.0,8058503168.0,1668136960.0,20665860096.0,69555109888.0,0.0,0.0
1556199013.689,49.404,6.929,41.089,0.322,0.0,2.256,10820974.0,5658730.0,2803567.0,7734472.0,2695562.0,7739564.0,2812197.0,7728898.0,0.0,0.0,2715989.0,7742701.0,24790240.0,6710225.0,0.0,0.0,0.0,0.0,54689554.0,59823186.0,0.0,112975872.0,0.0,0.0,0.0,57483264.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,10900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19615.0,0.0,0.0,0.0,115.0,0.0,0.0,8064204800.0,1668136960.0,20697202688.0,69518065664.0,0.0,0.0
1556199014.689,49.698,6.622,41.102,0.318,0.0,2.260,10931882.0,5685568.0,2818515.0,7889632.0,2695417.0,7891950.0,2829783.0,7863044.0,0.0,0.0,2705597.0,7904855.0,25442523.0,6795180.0,0.0,0.0,0.0,0.0,55466774.0,60622208.0,0.0,112717824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19513.0,0.0,0.0,0.0,0.0,0.0,0.0,8068476928.0,1668136960.0,20734136320.0,69476859904.0,0.0,0.0
1556199015.689,49.313,6.999,41.227,0.256,0.0,2.205,10919465.0,5688880.0,2813828.0,7822263.0,2688069.0,7810882.0,2845912.0,7873429.0,0.0,0.0,2729101.0,7848218.0,25123379.0,6772148.0,0.0,0.0,0.0,0.0,55199663.0,60443242.0,0.0,112467968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19718.0,0.0,0.0,0.0,0.0,0.0,0.0,8070012928.0,1668136960.0,20770136064.0,69439324160.0,0.0,0.0
1556199016.689,49.128,7.734,40.729,0.254,0.0,2.155,10761452.0,5620798.0,2810511.0,7722357.0,2681097.0,7717391.0,2817219.0,7733461.0,0.0,0.0,2693689.0,7733286.0,24760119.0,6655750.0,0.0,0.0,0.0,0.0,54518849.0,59611010.0,0.0,110972928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19175.0,0.0,0.0,0.0,0.0,0.0,0.0,8065208320.0,1668136960.0,20810788864.0,69403475968.0,0.0,0.0
1556199017.689,56.051,8.344,32.739,0.860,0.0,2.006,10965854.0,5464570.0,2741406.0,7863158.0,2638164.0,7877012.0,2736444.0,7843528.0,0.0,0.0,2628814.0,7823839.0,25421067.0,6812526.0,0.0,0.0,0.0,0.0,54844363.0,60212860.0,0.0,387674112.0,0.0,0.0,0.0,90112.0,0.0,0.0,0.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25516.0,0.0,0.0,0.0,8.0,0.0,0.0,8082845696.0,1668136960.0,21070499840.0,69126127616.0,0.0,0.0
1556199018.689,52.557,7.961,36.472,0.712,0.0,2.298,10837975.0,5569878.0,2749768.0,7716383.0,2659940.0,7715648.0,2798484.0,7760607.0,0.0,0.0,2639594.0,7739425.0,24783190.0,6726601.0,0.0,0.0,0.0,0.0,54337498.0,59659376.0,0.0,298987520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24057.0,0.0,0.0,0.0,0.0,0.0,0.0,8078864384.0,1668136960.0,20863668224.0,69336940544.0,0.0,0.0
1556199019.688,50.943,7.063,39.438,0.320,0.0,2.237,10886563.0,5793986.0,2870954.0,7824494.0,2739283.0,7823560.0,2841375.0,7813697.0,0.0,0.0,2720288.0,7823111.0,25115555.0,6740756.0,0.0,0.0,0.0,0.0,55330655.0,60400290.0,0.0,120918016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21109.0,0.0,0.0,0.0,0.0,0.0,0.0,8074297344.0,1668136960.0,20903497728.0,69301678080.0,0.0,0.0
1556199020.688,49.727,7.141,40.367,0.322,0.0,2.445,10910906.0,5786101.0,2849021.0,7898291.0,2710530.0,7891946.0,2848734.0,7891670.0,0.0,0.0,2717476.0,7890452.0,25443087.0,6799696.0,0.0,0.0,0.0,0.0,55619688.0,60716173.0,0.0,121057280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21015.0,0.0,0.0,0.0,0.0,0.0,0.0,8075333632.0,1668136960.0,20940275712.0,69263863808.0,0.0,0.0
1556199021.689,49.185,7.387,40.774,0.288,0.0,2.366,10875699.0,5724334.0,2828956.0,7772060.0,2691004.0,7772635.0,2851118.0,7772973.0,0.0,0.0,2696538.0,7774629.0,24958371.0,6744392.0,0.0,0.0,0.0,0.0,54974225.0,60103192.0,0.0,116359168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20160.0,0.0,0.0,0.0,0.0,0.0,0.0,8078426112.0,1668136960.0,20976357376.0,69224689664.0,0.0,0.0
