/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth055d58e = 10000"
"netBandwidth.veth055d58e = 12500000"
"netFullDuplex.veth055d58e = full"
"netSpeed.veth4b7cb34 = 10000"
"netBandwidth.veth4b7cb34 = 12500000"
"netFullDuplex.veth4b7cb34 = full"
"netSpeed.veth53069cd = 10000"
"netBandwidth.veth53069cd = 12500000"
"netFullDuplex.veth53069cd = full"
"netSpeed.veth7851a61 = 10000"
"netBandwidth.veth7851a61 = 12500000"
"netFullDuplex.veth7851a61 = full"
"netSpeed.veth824b048 = 10000"
"netBandwidth.veth824b048 = 12500000"
"netFullDuplex.veth824b048 = full"
"netSpeed.vethdd8a625 = 10000"
"netBandwidth.vethdd8a625 = 12500000"
"netFullDuplex.vethdd8a625 = full"
"netSpeed.vethf30bd02 = 10000"
"netBandwidth.vethf30bd02 = 12500000"
"netFullDuplex.vethf30bd02 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth055d58e,veth4b7cb34,veth53069cd,veth7851a61,veth824b048,vethdd8a625,vethf30bd02,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 10:11:18 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth055d58e",,"net/veth4b7cb34",,"net/veth53069cd",,"net/veth7851a61",,"net/veth824b048",,"net/vethdd8a625",,"net/vethf30bd02",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556212593.069,57.270,4.276,37.314,0.317,0.0,0.824,8681016.0,5003443.0,21826809.0,4339287.0,0.0,0.0,2793133.0,7119141.0,0.0,0.0,2296743.0,6504272.0,2148914.0,6692001.0,2796180.0,7217471.0,47023536.0,50354085.0,0.0,43057152.0,0.0,106262528.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7801.0,0.0,9673.0,0.0,0.0,0.0,0.0,9248448512.0,1805012992.0,20730159104.0,68163989504.0,0.0,0.0
1556212594.070,59.042,4.568,35.287,0.315,0.0,0.788,11253997.0,6071949.0,18756710.0,5584603.0,0.0,0.0,3499838.0,7095563.0,0.0,0.0,3027951.0,6184832.0,2899895.0,6189676.0,3183840.0,6667091.0,50619989.0,55328077.0,0.0,51396608.0,0.0,139452416.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7262.0,0.0,9934.0,0.0,0.0,0.0,0.0,9291235328.0,1805017088.0,20799348736.0,68052008960.0,0.0,0.0
1556212595.069,63.413,4.721,30.526,0.510,0.0,0.829,11292941.0,6336209.0,17179321.0,5268108.0,0.0,0.0,4822179.0,7278825.0,0.0,0.0,1994410.0,5939733.0,1806760.0,5505911.0,4782362.0,6293694.0,50274109.0,54747297.0,0.0,169066496.0,4096.0,165285888.0,0.0,0.0,0.0,0.0,0.0,892.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8873.0,1.0,10278.0,0.0,0.0,0.0,0.0,9326125056.0,1805029376.0,21010903040.0,67805552640.0,0.0,0.0
1556212596.070,55.712,4.576,38.464,0.320,0.0,0.928,9217478.0,5511592.0,20349478.0,4265482.0,0.0,0.0,3319109.0,7265901.0,0.0,0.0,2628458.0,6550724.0,2443412.0,6419061.0,2938445.0,6737237.0,48145850.0,51534814.0,0.0,97841152.0,0.0,108544000.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9188.0,0.0,9524.0,0.0,0.0,0.0,0.0,9337556992.0,1805029376.0,20815601664.0,67989422080.0,0.0,0.0
1556212597.069,60.357,5.354,32.792,0.287,0.0,1.211,12506280.0,7492001.0,18202986.0,5253570.0,0.0,0.0,3190520.0,7066476.0,0.0,0.0,4190099.0,6731541.0,4511256.0,7012066.0,4017067.0,6799078.0,56611290.0,61074722.0,0.0,35008512.0,0.0,101707776.0,0.0,51728384.0,0.0,0.0,0.0,88.0,0.0,148.0,0.0,7380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6241.0,0.0,8597.0,0.0,99.0,0.0,0.0,9361936384.0,1805033472.0,20848726016.0,67931914240.0,0.0,0.0
1556212598.070,58.525,4.662,35.824,0.287,0.0,0.702,8301091.0,5746359.0,19948869.0,3615603.0,0.0,0.0,2738708.0,6775376.0,0.0,0.0,3144296.0,6174137.0,3378610.0,6887082.0,2577114.0,6533664.0,47638360.0,49963227.0,0.0,40816640.0,0.0,101621760.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7483.0,0.0,9001.0,0.0,0.0,0.0,0.0,9370435584.0,1805041664.0,20878581760.0,67893551104.0,0.0,0.0
1556212599.069,58.357,4.871,35.530,0.287,0.0,0.955,9642329.0,5789736.0,19101811.0,4435049.0,0.0,0.0,2691041.0,6347079.0,0.0,0.0,3400008.0,6437567.0,3412005.0,6780804.0,2512577.0,6450539.0,48419876.0,51885653.0,0.0,41566208.0,0.0,101474304.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7398.0,0.0,8746.0,0.0,0.0,0.0,0.0,9378418688.0,1805041664.0,20910043136.0,67854106624.0,0.0,0.0
1556212600.070,56.170,4.284,38.619,0.288,0.0,0.639,8817206.0,5764172.0,21931275.0,3824410.0,0.0,0.0,2064642.0,7439338.0,0.0,0.0,4058864.0,6792922.0,3744369.0,7881950.0,1980023.0,6533189.0,50192808.0,52939276.0,0.0,43757568.0,0.0,103809024.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7950.0,0.0,9282.0,0.0,0.0,0.0,0.0,9389338624.0,1805041664.0,20938170368.0,67815059456.0,0.0,0.0
1556212601.070,60.402,4.531,33.950,0.255,0.0,0.862,11510665.0,6605305.0,17518481.0,5194402.0,0.0,0.0,2614712.0,6924207.0,0.0,0.0,4451571.0,6248511.0,4485742.0,6587814.0,2498346.0,6006995.0,51824894.0,56257529.0,0.0,37064704.0,0.0,100581376.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6670.0,0.0,8526.0,0.0,0.0,0.0,0.0,9403609088.0,1805041664.0,20968407040.0,67770552320.0,0.0,0.0
1556212602.070,56.200,4.895,37.746,0.322,0.0,0.837,8484336.0,5256511.0,20342915.0,4103260.0,0.0,0.0,3767243.0,6673428.0,0.0,0.0,1705908.0,5907029.0,1403055.0,6436023.0,3851055.0,7217762.0,46423458.0,49359896.0,0.0,42799104.0,0.0,101818368.0,0.0,90112.0,0.0,0.0,0.0,36.0,0.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7748.0,0.0,8786.0,0.0,8.0,0.0,0.0,9426714624.0,1805041664.0,20999360512.0,67716493312.0,0.0,0.0
1556212603.070,55.064,4.391,39.679,0.321,0.0,0.545,5071661.0,3569256.0,21822455.0,2412136.0,0.0,0.0,2400856.0,7150957.0,0.0,0.0,1417218.0,5920161.0,1103314.0,6000656.0,1960000.0,6375908.0,38303252.0,39626619.0,0.0,44072960.0,0.0,160673792.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7791.0,0.0,10681.0,0.0,0.0,0.0,0.0,9435627520.0,1805049856.0,21075132416.0,67631800320.0,0.0,0.0
1556212604.070,56.023,4.173,38.761,0.411,0.0,0.632,8134065.0,3808182.0,21970811.0,4395023.0,0.0,0.0,2480102.0,6902608.0,0.0,0.0,1535113.0,5791596.0,1251955.0,6641174.0,2214150.0,7367992.0,42498286.0,46452022.0,0.0,45891584.0,0.0,150454272.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8205.0,0.0,10852.0,0.0,0.0,0.0,0.0,9443856384.0,1805058048.0,21055201280.0,67643494400.0,0.0,0.0
1556212605.069,58.577,4.924,35.292,0.318,0.0,0.889,10430801.0,6407469.0,19846601.0,5744569.0,0.0,0.0,4181074.0,6860958.0,0.0,0.0,2377048.0,5938168.0,2094076.0,6542583.0,4411103.0,6865190.0,51751800.0,55310989.0,0.0,41623552.0,0.0,174006272.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7582.0,0.0,11620.0,0.0,0.0,0.0,0.0,9451393024.0,1805066240.0,21147217920.0,67543932928.0,0.0,0.0
1556212606.070,53.385,4.130,41.708,0.497,0.0,0.280,954592.0,1615877.0,23798486.0,665476.0,0.0,0.0,562674.0,6587902.0,0.0,0.0,804058.0,6082533.0,433226.0,5552267.0,422998.0,6180514.0,28717652.0,28087604.0,0.0,162078720.0,0.0,148123648.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11876.0,0.0,11335.0,0.0,0.0,0.0,0.0,9462484992.0,1805070336.0,21217017856.0,67463036928.0,0.0,0.0
1556212607.069,54.981,4.480,39.630,0.501,0.0,0.407,2151328.0,2137272.0,23132942.0,1262282.0,0.0,0.0,864713.0,6152319.0,0.0,0.0,1032958.0,6431747.0,637423.0,5926577.0,868216.0,5948328.0,31169810.0,31120709.0,0.0,147841024.0,0.0,105680896.0,0.0,20480.0,0.0,0.0,0.0,380.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10973.0,0.0,9915.0,0.0,3.0,0.0,0.0,9478975488.0,1805070336.0,21141344256.0,67522220032.0,0.0,0.0
1556212608.070,52.152,3.770,43.418,0.346,0.0,0.314,3199396.0,2727808.0,24774648.0,1617927.0,0.0,0.0,1050355.0,6905843.0,0.0,0.0,1623646.0,6439777.0,1272825.0,7077084.0,856616.0,6603448.0,36095016.0,36467797.0,0.0,49807360.0,0.0,114278400.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9015.0,0.0,10490.0,0.0,0.0,0.0,0.0,9478799360.0,1805070336.0,21170028544.0,67493711872.0,0.0,0.0
1556212609.069,55.070,3.549,40.779,0.349,0.0,0.253,3573264.0,2700173.0,22933792.0,1994767.0,0.0,0.0,1266849.0,6424356.0,0.0,0.0,1413112.0,6099078.0,1085383.0,6192911.0,1031445.0,6455701.0,34601065.0,35343161.0,0.0,65855488.0,0.0,101515264.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9985.0,0.0,9033.0,0.0,0.0,0.0,0.0,9482477568.0,1805070336.0,21190922240.0,67469139968.0,0.0,0.0
1556212610.069,55.101,3.589,40.680,0.252,0.0,0.378,4701251.0,3189999.0,22804456.0,2637167.0,0.0,0.0,1751867.0,6745253.0,0.0,0.0,1559065.0,6142482.0,1171338.0,6238233.0,1433011.0,6576184.0,37415946.0,38743064.0,0.0,48910336.0,0.0,104443904.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8847.0,0.0,9496.0,0.0,0.0,0.0,0.0,9511030784.0,1805070336.0,21219278848.0,67412230144.0,0.0,0.0
1556212611.070,53.118,3.723,42.383,0.341,0.0,0.434,3738599.0,2898753.0,24296334.0,1908491.0,0.0,0.0,1922275.0,7653589.0,0.0,0.0,1046454.0,6249507.0,760562.0,6738338.0,1564899.0,6281113.0,36915789.0,37673056.0,0.0,48054272.0,0.0,104792064.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8662.0,0.0,9638.0,0.0,0.0,0.0,0.0,9513533440.0,1805070336.0,21249056768.0,67379949568.0,0.0,0.0
1556212612.070,54.135,4.006,41.154,0.256,0.0,0.449,4560734.0,2877799.0,21493742.0,2546824.0,0.0,0.0,2042606.0,6185723.0,0.0,0.0,881675.0,5747070.0,696498.0,5972458.0,1768499.0,6316332.0,35057610.0,36512885.0,0.0,45522944.0,0.0,99381248.0,0.0,45703168.0,0.0,0.0,0.0,68.0,0.0,104.0,0.0,6048.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8225.0,0.0,8610.0,0.0,89.0,0.0,0.0,9603944448.0,1805070336.0,21278466048.0,67260129280.0,0.0,0.0
1556212613.070,53.491,4.364,41.178,0.405,0.0,0.561,5333738.0,3788159.0,21909463.0,2602791.0,0.0,0.0,2442369.0,7001075.0,0.0,0.0,1459049.0,5517184.0,1200324.0,6277734.0,2067634.0,6847157.0,39192554.0,40561050.0,0.0,46526464.0,0.0,159588352.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8342.0,0.0,11221.0,0.0,0.0,0.0,0.0,9695252480.0,1805074432.0,21351878656.0,67095404544.0,0.0,0.0
1556212614.070,60.277,4.871,33.909,0.346,0.0,0.597,8540035.0,4497445.0,19681239.0,4830167.0,0.0,0.0,2923156.0,6010700.0,0.0,0.0,1541886.0,5838919.0,1314321.0,6382080.0,3116823.0,6268707.0,42895144.0,46572804.0,0.0,42295296.0,0.0,185741312.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7674.0,0.0,11876.0,0.0,0.0,0.0,0.0,9788682240.0,1805078528.0,21354000384.0,66999848960.0,0.0,0.0
1556212615.070,60.475,4.315,34.084,0.438,0.0,0.688,7325679.0,4217969.0,20455918.0,3657990.0,0.0,0.0,1953788.0,6601073.0,0.0,0.0,2380094.0,5972944.0,2333915.0,6067661.0,1891657.0,6646054.0,41804653.0,44584037.0,0.0,57966592.0,0.0,178487296.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7980.0,0.0,11069.0,0.0,0.0,0.0,0.0,9886236672.0,1805086720.0,21455384576.0,66800902144.0,0.0,0.0
1556212616.070,57.444,4.153,37.252,0.575,0.0,0.575,5039819.0,3450594.0,22695267.0,2643648.0,0.0,0.0,1909663.0,7166710.0,0.0,0.0,1426611.0,6292859.0,1252804.0,6073021.0,1781224.0,6422195.0,38416997.0,39841788.0,0.0,210124800.0,0.0,125394944.0,0.0,0.0,0.0,0.0,0.0,1004.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12364.0,0.0,10793.0,0.0,0.0,0.0,0.0,9920016384.0,1805086720.0,21526667264.0,66695839744.0,0.0,0.0
1556212617.070,57.876,5.009,36.137,0.347,0.0,0.630,5750282.0,3591639.0,21254412.0,3021173.0,0.0,0.0,1870681.0,6821072.0,0.0,0.0,1655236.0,5883332.0,1449458.0,5986769.0,1918524.0,6232365.0,38448607.0,40386828.0,0.0,97312768.0,0.0,109940736.0,0.0,90112.0,0.0,0.0,0.0,280.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8920.0,0.0,9647.0,0.0,8.0,0.0,0.0,9966583808.0,1805086720.0,21404205056.0,66771734528.0,0.0,0.0
1556212618.070,58.288,4.103,36.672,0.291,0.0,0.646,9628998.0,5223161.0,19791107.0,5059827.0,0.0,0.0,3824569.0,6759793.0,0.0,0.0,1759703.0,6172023.0,1626615.0,6348272.0,3471454.0,6524620.0,46956072.0,50946343.0,0.0,42622976.0,0.0,105541632.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7675.0,0.0,9431.0,0.0,0.0,0.0,0.0,9968488448.0,1805086720.0,21437771776.0,66736263168.0,0.0,0.0
1556212619.070,59.079,4.444,35.524,0.254,0.0,0.698,7958742.0,4546543.0,20802824.0,3798792.0,0.0,0.0,2645255.0,7111201.0,0.0,0.0,2065077.0,5806130.0,1994126.0,6364906.0,2603396.0,6929518.0,43983786.0,47041246.0,0.0,42651648.0,0.0,101318656.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7674.0,0.0,8834.0,0.0,0.0,0.0,0.0,10023616512.0,1805086720.0,21468581888.0,66650324992.0,0.0,0.0
1556212620.069,57.549,4.268,37.245,0.259,0.0,0.679,6448073.0,4307222.0,21318565.0,3256576.0,0.0,0.0,2456314.0,6918953.0,0.0,0.0,2053403.0,6289934.0,1884120.0,6267265.0,1919489.0,6236115.0,41609378.0,43542752.0,0.0,43687936.0,0.0,104943616.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7941.0,0.0,9530.0,0.0,0.0,0.0,0.0,10032046080.0,1805086720.0,21496918016.0,66613559296.0,0.0,0.0
1556212621.070,60.754,5.463,32.716,0.251,0.0,0.816,12017539.0,6844380.0,17560179.0,5506356.0,0.0,0.0,5867237.0,7206366.0,0.0,0.0,1675825.0,5749271.0,1630277.0,5917425.0,5409480.0,7196635.0,53228168.0,57951823.0,0.0,37478400.0,0.0,101294080.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6792.0,0.0,8625.0,0.0,0.0,0.0,0.0,10039275520.0,1805086720.0,21524246528.0,66579001344.0,0.0,0.0
1556212622.070,61.332,5.044,32.460,0.323,0.0,0.841,9893856.0,5606598.0,19454529.0,4946173.0,0.0,0.0,2639720.0,6535764.0,0.0,0.0,3245648.0,6455529.0,3257044.0,6552815.0,2472219.0,6439993.0,48321975.0,52187336.0,0.0,37359616.0,0.0,101298176.0,0.0,24576.0,0.0,0.0,0.0,124.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6773.0,0.0,8644.0,0.0,3.0,0.0,0.0,10041614336.0,1805090816.0,21554966528.0,66545938432.0,0.0,0.0
1556212623.070,57.229,3.567,38.415,0.284,0.0,0.505,5593251.0,3810177.0,22479252.0,2719469.0,0.0,0.0,2388034.0,7132276.0,0.0,0.0,1409397.0,6305329.0,1410954.0,6437117.0,2121441.0,6486772.0,40212875.0,41802328.0,0.0,46280704.0,0.0,110166016.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8295.0,0.0,10047.0,0.0,0.0,0.0,0.0,10052349952.0,1805090816.0,21583822848.0,66506346496.0,0.0,0.0
1556212624.070,62.238,4.575,32.247,0.407,0.0,0.533,8425177.0,4608776.0,19993234.0,4447423.0,0.0,0.0,3687104.0,6719758.0,0.0,0.0,1254625.0,5627316.0,959835.0,6376077.0,3438403.0,6528139.0,43716779.0,47205917.0,0.0,43159552.0,0.0,173969408.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7813.0,0.0,11284.0,0.0,0.0,0.0,0.0,10075541504.0,1805090816.0,21667889152.0,66399088640.0,0.0,0.0
1556212625.070,60.670,4.647,33.512,0.379,0.0,0.790,7883058.0,4867738.0,20357041.0,3918063.0,0.0,0.0,2557411.0,6903219.0,0.0,0.0,1394824.0,5526054.0,1477171.0,5734536.0,4330171.0,7448477.0,44342932.0,47054373.0,0.0,40493056.0,0.0,212721664.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7345.0,0.0,12730.0,0.0,0.0,0.0,0.0,10082197504.0,1805094912.0,21693542400.0,66366775296.0,0.0,0.0
1556212626.070,58.555,4.943,35.520,0.380,0.0,0.602,6197105.0,3946438.0,19769797.0,2990604.0,0.0,0.0,1944585.0,6087357.0,0.0,0.0,1878025.0,5652887.0,1937371.0,6315727.0,1972892.0,6003492.0,38765549.0,40799855.0,0.0,82558976.0,0.0,155332608.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8671.0,0.0,10392.0,0.0,0.0,0.0,0.0,10105876480.0,1805094912.0,21703065600.0,66333573120.0,0.0,0.0
1556212627.070,56.312,4.305,38.452,0.514,0.0,0.418,3997479.0,3138725.0,22462936.0,1748051.0,0.0,0.0,1966122.0,6895822.0,0.0,0.0,1218668.0,6172116.0,849582.0,6081178.0,1832875.0,6382684.0,36231757.0,36966136.0,0.0,173629440.0,0.0,105312256.0,0.0,46821376.0,0.0,0.0,0.0,440.0,0.0,168.0,0.0,8560.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10721.0,0.0,9727.0,0.0,105.0,0.0,0.0,10109272064.0,1805094912.0,21848707072.0,66184536064.0,0.0,0.0
1556212628.070,58.446,4.325,36.384,0.376,0.0,0.470,3260414.0,2951411.0,21602906.0,1441591.0,0.0,0.0,1762652.0,6588645.0,0.0,0.0,1042571.0,5463548.0,711483.0,5979111.0,1807290.0,6108136.0,33843212.0,34050745.0,0.0,101085184.0,0.0,98807808.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9640.0,0.0,8677.0,0.0,0.0,0.0,0.0,10118688768.0,1805094912.0,21720625152.0,66303201280.0,0.0,0.0
1556212629.070,54.856,3.860,40.430,0.221,0.0,0.633,5012066.0,3653410.0,19507433.0,2103514.0,0.0,0.0,2060734.0,6325339.0,0.0,0.0,1678069.0,6125570.0,1423096.0,5266671.0,1953615.0,5717559.0,36296805.0,37492216.0,0.0,42577920.0,0.0,99250176.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7664.0,0.0,8623.0,0.0,0.0,0.0,0.0,10135396352.0,1805094912.0,21746630656.0,66260488192.0,0.0,0.0
1556212630.070,58.307,3.741,37.127,0.285,0.0,0.539,6411515.0,4119971.0,20790031.0,3023477.0,0.0,0.0,2101038.0,6178614.0,0.0,0.0,2063298.0,5937791.0,1878439.0,6492536.0,2225013.0,6708715.0,40802222.0,42836003.0,0.0,39550976.0,0.0,99991552.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7139.0,0.0,8788.0,0.0,0.0,0.0,0.0,10146271232.0,1805094912.0,21774790656.0,66221453312.0,0.0,0.0
1556212631.070,60.822,4.335,33.982,0.223,0.0,0.638,7784507.0,5075743.0,18048949.0,3626432.0,0.0,0.0,4095926.0,6583765.0,0.0,0.0,1041901.0,5410561.0,730494.0,5452015.0,4386925.0,6109271.0,42643965.0,45047767.0,0.0,36917248.0,0.0,99692544.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,124.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6633.0,0.0,8440.0,0.0,0.0,0.0,0.0,10150137856.0,1805094912.0,21803151360.0,66189225984.0,0.0,0.0
1556212632.070,51.183,3.311,44.939,0.315,0.0,0.252,1392523.0,1908202.0,23771006.0,749109.0,0.0,0.0,814055.0,6765416.0,0.0,0.0,939805.0,5976575.0,475982.0,5824905.0,719887.0,6247493.0,30284006.0,29739003.0,0.0,47726592.0,0.0,102809600.0,0.0,114688.0,0.0,0.0,0.0,108.0,0.0,124.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8630.0,0.0,9421.0,0.0,8.0,0.0,0.0,10157178880.0,1805094912.0,21829382144.0,66155954176.0,0.0,0.0
1556212633.070,55.405,3.413,40.424,0.316,0.0,0.442,2446628.0,2754668.0,21589637.0,785238.0,0.0,0.0,2047454.0,6736811.0,0.0,0.0,749366.0,5470813.0,427236.0,5793635.0,1827746.0,5990242.0,32470734.0,32114108.0,0.0,44130304.0,0.0,97886208.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7914.0,0.0,8543.0,0.0,0.0,0.0,0.0,10159636480.0,1805094912.0,21855461376.0,66127417344.0,0.0,0.0
1556212634.070,55.940,3.272,39.962,0.318,0.0,0.508,4222570.0,3128831.0,21579510.0,2198813.0,0.0,0.0,1004740.0,6400801.0,0.0,0.0,2227829.0,5789573.0,1841055.0,5958791.0,707497.0,6244545.0,35484884.0,36430687.0,0.0,46223360.0,0.0,132521984.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,220.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8369.0,0.0,10272.0,0.0,0.0,0.0,0.0,10171490304.0,1805099008.0,21908393984.0,66062626816.0,0.0,0.0
1556212635.070,53.323,3.730,42.132,0.502,0.0,0.313,1131594.0,1677732.0,23445329.0,723695.0,0.0,0.0,1037473.0,6423722.0,0.0,0.0,488485.0,5486840.0,161399.0,5850654.0,742123.0,6395506.0,28854208.0,28285698.0,0.0,49971200.0,0.0,225402880.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8942.0,0.0,13100.0,0.0,0.0,0.0,0.0,10186706944.0,1805103104.0,22040137728.0,65915662336.0,0.0,0.0
1556212636.070,55.847,4.089,39.297,0.447,0.0,0.319,1599857.0,1756366.0,23504170.0,1083882.0,0.0,0.0,1128491.0,5702061.0,0.0,0.0,496133.0,5690379.0,160868.0,6095315.0,832742.0,6852958.0,29693090.0,29484301.0,0.0,66961408.0,0.0,185004032.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9519.0,0.0,11964.0,0.0,0.0,0.0,0.0,10188664832.0,1805115392.0,22051733504.0,65902096384.0,0.0,0.0
