/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth13de826 = 10000"
"netBandwidth.veth13de826 = 12500000"
"netFullDuplex.veth13de826 = full"
"netSpeed.veth38325a0 = 10000"
"netBandwidth.veth38325a0 = 12500000"
"netFullDuplex.veth38325a0 = full"
"netSpeed.veth42cc391 = 10000"
"netBandwidth.veth42cc391 = 12500000"
"netFullDuplex.veth42cc391 = full"
"netSpeed.veth612f114 = 10000"
"netBandwidth.veth612f114 = 12500000"
"netFullDuplex.veth612f114 = full"
"netSpeed.veth644385e = 10000"
"netBandwidth.veth644385e = 12500000"
"netFullDuplex.veth644385e = full"
"netSpeed.vethae0ebe9 = 10000"
"netBandwidth.vethae0ebe9 = 12500000"
"netFullDuplex.vethae0ebe9 = full"
"netSpeed.vethced9ff4 = 10000"
"netBandwidth.vethced9ff4 = 12500000"
"netFullDuplex.vethced9ff4 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth13de826,veth38325a0,veth42cc391,veth612f114,veth644385e,vethae0ebe9,vethced9ff4,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 03:01:50 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth13de826",,"net/veth38325a0",,"net/veth42cc391",,"net/veth612f114",,"net/veth644385e",,"net/vethae0ebe9",,"net/vethced9ff4",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556186735.270,28.683,5.541,63.950,0.163,0.0,1.662,3831849.0,2056977.0,8452608.0,2369467.0,0.0,0.0,932709.0,2733300.0,1073441.0,2752448.0,1145315.0,2742761.0,0.0,0.0,1027768.0,2745684.0,19721093.0,21536206.0,0.0,36556800.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6305.0,0.0,0.0,0.0,8.0,0.0,0.0,7686148096.0,1667280896.0,12929536000.0,77664645120.0,0.0,0.0
1556186736.270,29.668,5.818,62.340,0.128,0.0,2.046,3821802.0,2061530.0,8453838.0,2363517.0,0.0,0.0,939170.0,2735906.0,1066815.0,2741980.0,1148984.0,2740933.0,0.0,0.0,1026828.0,2742141.0,19717254.0,21524554.0,0.0,36667392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,7685844992.0,1667280896.0,12942622720.0,77651861504.0,0.0,0.0
1556186737.269,29.625,6.230,61.952,0.095,0.0,2.098,3817754.0,2054082.0,8449670.0,2364802.0,0.0,0.0,941211.0,2737891.0,1067681.0,2745350.0,1150467.0,2744767.0,0.0,0.0,1020870.0,2741270.0,19712508.0,21520274.0,0.0,36761600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6324.0,0.0,0.0,0.0,0.0,0.0,0.0,7686127616.0,1667280896.0,12953526272.0,77640675328.0,0.0,0.0
1556186738.270,29.719,5.867,62.532,0.128,0.0,1.754,3829977.0,2065374.0,8451737.0,2367650.0,0.0,0.0,940118.0,2737508.0,1077054.0,2751179.0,1155065.0,2746113.0,0.0,0.0,1032895.0,2748207.0,19762609.0,21572064.0,0.0,36200448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6205.0,0.0,0.0,0.0,0.0,0.0,0.0,7685029888.0,1667280896.0,12966281216.0,77629018112.0,0.0,0.0
1556186739.270,28.935,6.180,63.116,0.129,0.0,1.641,3825019.0,2049127.0,8451433.0,2370992.0,0.0,0.0,940107.0,2739586.0,1066299.0,2744486.0,1145345.0,2744042.0,0.0,0.0,1025596.0,2742352.0,19716881.0,21523197.0,0.0,36290560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6238.0,0.0,0.0,0.0,0.0,0.0,0.0,7687639040.0,1667280896.0,12977401856.0,77615288320.0,0.0,0.0
1556186740.269,28.798,6.357,62.969,0.064,0.0,1.812,3812248.0,2052589.0,8449913.0,2360553.0,0.0,0.0,937080.0,2736652.0,1066414.0,2740304.0,1152812.0,2748422.0,0.0,0.0,1026745.0,2743223.0,19707756.0,21514324.0,0.0,36708352.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6302.0,0.0,0.0,0.0,3.0,0.0,0.0,7685599232.0,1667280896.0,12990595072.0,77604134912.0,0.0,0.0
1556186741.269,28.936,5.589,63.494,0.128,0.0,1.852,3834694.0,2060627.0,8449786.0,2365070.0,0.0,0.0,935415.0,2732316.0,1071771.0,2750453.0,1144170.0,2740352.0,0.0,0.0,1033228.0,2752375.0,19737617.0,21541288.0,0.0,36474880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6266.0,0.0,0.0,0.0,0.0,0.0,0.0,7686692864.0,1667280896.0,13001408512.0,77592227840.0,0.0,0.0
1556186742.269,28.915,6.116,62.792,0.128,0.0,2.049,3811836.0,2047424.0,8448284.0,2363826.0,0.0,0.0,937586.0,2733300.0,1068902.0,2746989.0,1143464.0,2739121.0,0.0,0.0,1019368.0,2734821.0,19673766.0,21478825.0,0.0,36569088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6302.0,0.0,0.0,0.0,0.0,0.0,0.0,7685697536.0,1667280896.0,13013991424.0,77580640256.0,0.0,0.0
1556186743.270,28.613,6.037,63.648,0.096,0.0,1.606,3824032.0,2057880.0,8449859.0,2360115.0,0.0,0.0,937065.0,2733151.0,1071699.0,2749066.0,1153093.0,2742288.0,0.0,0.0,1031459.0,2748020.0,19733608.0,21529016.0,0.0,36585472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6279.0,0.0,0.0,0.0,0.0,0.0,0.0,7686393856.0,1667280896.0,13025558528.0,77568376832.0,0.0,0.0
1556186744.269,29.315,5.336,63.420,0.096,0.0,1.832,3820755.0,2053499.0,8452967.0,2370707.0,0.0,0.0,935294.0,2735496.0,1073409.0,2750338.0,1138831.0,2736723.0,0.0,0.0,1031633.0,2748906.0,19717924.0,21536785.0,0.0,36093952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.0,0.0,0.0,0.0,0.0,0.0,0.0,7687495680.0,1667280896.0,13038469120.0,77554364416.0,0.0,0.0
1556186745.270,30.652,6.206,61.463,0.158,0.0,1.520,3825792.0,2057075.0,8451039.0,2362897.0,0.0,0.0,939089.0,2737158.0,1069570.0,2745309.0,1151181.0,2746378.0,0.0,0.0,1027647.0,2743812.0,19728639.0,21529101.0,0.0,89673728.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7603.0,0.0,0.0,0.0,3.0,0.0,0.0,7685685248.0,1667280896.0,13090787328.0,77503856640.0,0.0,0.0
1556186746.270,30.163,5.732,62.152,0.224,0.0,1.729,3826920.0,2058507.0,8453422.0,2372515.0,0.0,0.0,941744.0,2739196.0,1070176.0,2748347.0,1152425.0,2746941.0,0.0,0.0,1027765.0,2744207.0,19743565.0,21562008.0,0.0,97210368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7606.0,0.0,0.0,0.0,0.0,0.0,0.0,7689670656.0,1667280896.0,13061115904.0,77529542656.0,0.0,0.0
1556186747.270,29.605,5.577,62.843,0.127,0.0,1.848,3826613.0,2060347.0,8451668.0,2366768.0,0.0,0.0,943320.0,2739390.0,1073156.0,2751800.0,1149524.0,2742853.0,0.0,0.0,1030997.0,2750459.0,19750155.0,21560763.0,0.0,37085184.0,0.0,0.0,0.0,19124224.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6397.0,0.0,0.0,0.0,39.0,0.0,0.0,7689965568.0,1667280896.0,13071880192.0,77518483456.0,0.0,0.0
1556186748.270,29.227,6.396,62.635,0.095,0.0,1.647,3820097.0,2055298.0,8451579.0,2362214.0,0.0,0.0,939167.0,2736105.0,1070364.0,2747044.0,1147439.0,2746479.0,0.0,0.0,1029436.0,2743401.0,19724359.0,21525999.0,0.0,37089280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.0,0.0,0.0,0.0,0.0,0.0,0.0,7689891840.0,1667280896.0,13083922432.0,77506514944.0,0.0,0.0
1556186749.270,28.686,6.748,62.872,0.128,0.0,1.567,3834108.0,2059310.0,8453521.0,2371699.0,0.0,0.0,939568.0,2739986.0,1069651.0,2745923.0,1152774.0,2742706.0,0.0,0.0,1028575.0,2745477.0,19749668.0,21549079.0,0.0,36814848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6342.0,0.0,0.0,0.0,0.0,0.0,0.0,7688044544.0,1667280896.0,13096378368.0,77495906304.0,0.0,0.0
1556186750.270,28.040,6.224,63.876,0.096,0.0,1.765,3813923.0,2053879.0,8451318.0,2360097.0,0.0,0.0,935314.0,2735557.0,1070125.0,2748276.0,1144801.0,2742812.0,0.0,0.0,1026919.0,2742591.0,19698870.0,21504808.0,0.0,37044224.0,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6424.0,0.0,0.0,0.0,8.0,0.0,0.0,7687147520.0,1667280896.0,13110071296.0,77483110400.0,0.0,0.0
1556186751.270,28.177,6.751,62.979,0.127,0.0,1.965,3829513.0,2058691.0,8453909.0,2370013.0,0.0,0.0,939268.0,2737072.0,1070614.0,2748170.0,1147881.0,2742801.0,0.0,0.0,1028220.0,2746803.0,19736230.0,21551826.0,0.0,36999168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6393.0,0.0,0.0,0.0,0.0,0.0,0.0,7689326592.0,1667280896.0,13120413696.0,77470588928.0,0.0,0.0
1556186752.269,28.100,6.248,63.569,0.128,0.0,1.955,3810798.0,2048060.0,8447913.0,2357528.0,0.0,0.0,934546.0,2735433.0,1065986.0,2743288.0,1142931.0,2741211.0,0.0,0.0,1024533.0,2740304.0,19676208.0,21474753.0,0.0,36556800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6342.0,0.0,0.0,0.0,0.0,0.0,0.0,7690219520.0,1667280896.0,13132759040.0,77457350656.0,0.0,0.0
1556186753.270,28.119,5.818,63.898,0.129,0.0,2.036,3828687.0,2066805.0,8452131.0,2365183.0,0.0,0.0,946308.0,2740292.0,1069998.0,2745302.0,1156295.0,2748261.0,0.0,0.0,1025865.0,2742892.0,19755136.0,21560492.0,0.0,37355520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.0,0.0,0.0,0.0,0.0,0.0,0.0,7688507392.0,1667280896.0,13146054656.0,77445767168.0,0.0,0.0
1556186754.270,29.760,6.515,61.923,0.095,0.0,1.708,3821953.0,2047818.0,8450202.0,2364749.0,0.0,0.0,935962.0,2735856.0,1066830.0,2745434.0,1144275.0,2740554.0,0.0,0.0,1026834.0,2743493.0,19692012.0,21503278.0,0.0,37040128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6403.0,0.0,0.0,0.0,0.0,0.0,0.0,7695298560.0,1667280896.0,13156622336.0,77428408320.0,0.0,0.0
1556186755.270,28.955,6.220,62.993,0.063,0.0,1.768,3823716.0,2063151.0,8451182.0,2369459.0,0.0,0.0,941668.0,2739968.0,1074444.0,2748077.0,1152832.0,2742517.0,0.0,0.0,1028694.0,2744273.0,19755304.0,21555507.0,0.0,37097472.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6406.0,0.0,0.0,0.0,3.0,0.0,0.0,7695917056.0,1667280896.0,13169451008.0,77414961152.0,0.0,0.0
1556186756.270,29.059,5.518,63.445,0.128,0.0,1.850,3837762.0,2051538.0,8450925.0,2367418.0,0.0,0.0,940868.0,2742905.0,1067538.0,2749497.0,1147548.0,2742833.0,0.0,0.0,1024449.0,2745456.0,19729884.0,21549724.0,0.0,36794368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6386.0,0.0,0.0,0.0,0.0,0.0,0.0,7695290368.0,1667280896.0,13181931520.0,77403107328.0,0.0,0.0
1556186757.269,29.892,5.927,62.237,0.159,0.0,1.785,3814557.0,2058699.0,8451785.0,2365825.0,0.0,0.0,943718.0,2737200.0,1068858.0,2746772.0,1152045.0,2741070.0,0.0,0.0,1029763.0,2746934.0,19729912.0,21530428.0,0.0,36438016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6255.0,0.0,0.0,0.0,0.0,0.0,0.0,7695704064.0,1667280896.0,13193555968.0,77391069184.0,0.0,0.0
1556186758.270,28.789,6.531,62.936,0.063,0.0,1.680,3819832.0,2050576.0,8452328.0,2362350.0,0.0,0.0,941111.0,2739932.0,1069417.0,2750037.0,1146571.0,2747914.0,0.0,0.0,1029415.0,2745903.0,19730607.0,21542330.0,0.0,36257792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6326.0,0.0,0.0,0.0,0.0,0.0,0.0,7696560128.0,1667280896.0,13204234240.0,77379534848.0,0.0,0.0
1556186759.270,28.757,6.627,62.714,0.127,0.0,1.776,3828844.0,2060998.0,8453746.0,2372367.0,0.0,0.0,938135.0,2735472.0,1074512.0,2747851.0,1149004.0,2744042.0,0.0,0.0,1030637.0,2749253.0,19748731.0,21556350.0,0.0,37314560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355.0,0.0,0.0,0.0,0.0,0.0,0.0,7697174528.0,1667280896.0,13216583680.0,77366571008.0,0.0,0.0
1556186760.269,30.0,6.032,61.937,0.095,0.0,1.937,3818533.0,2053612.0,8451689.0,2366441.0,0.0,0.0,932542.0,2732584.0,1063352.0,2742581.0,1140546.0,2735915.0,0.0,0.0,1022225.0,2739248.0,19676022.0,21480432.0,0.0,36950016.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6379.0,0.0,0.0,0.0,3.0,0.0,0.0,7694352384.0,1667280896.0,13230460928.0,77355515904.0,0.0,0.0
1556186761.269,29.164,5.763,62.983,0.127,0.0,1.963,3829630.0,2059462.0,8452134.0,2364813.0,0.0,0.0,934245.0,2734603.0,1070047.0,2747403.0,1148579.0,2746331.0,0.0,0.0,1025350.0,2743873.0,19721260.0,21532581.0,0.0,36876288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.0,0.0,0.0,0.0,0.0,0.0,0.0,7696646144.0,1667280896.0,13241348096.0,77342334976.0,0.0,0.0
1556186762.270,30.162,6.026,61.814,0.127,0.0,1.871,3825480.0,2061696.0,8449795.0,2365739.0,0.0,0.0,942384.0,2734245.0,1066672.0,2739526.0,1154949.0,2746888.0,0.0,0.0,1026910.0,2741341.0,19725277.0,21527723.0,0.0,37490688.0,0.0,0.0,0.0,19136512.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6405.0,0.0,0.0,0.0,36.0,0.0,0.0,7697424384.0,1667280896.0,13253541888.0,77329362944.0,0.0,0.0
1556186763.270,29.196,5.967,62.891,0.096,0.0,1.851,3820592.0,2050122.0,8448997.0,2362876.0,0.0,0.0,928776.0,2727112.0,1066312.0,2746611.0,1142223.0,2736141.0,0.0,0.0,1021962.0,2742139.0,19666002.0,21483469.0,0.0,36810752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6350.0,0.0,0.0,0.0,0.0,0.0,0.0,7696936960.0,1667280896.0,13266247680.0,77317144576.0,0.0,0.0
1556186764.270,29.082,5.548,63.616,0.096,0.0,1.658,3815757.0,2045612.0,8448342.0,2364475.0,0.0,0.0,931176.0,2732958.0,1070836.0,2744940.0,1142182.0,2739227.0,0.0,0.0,1028348.0,2744379.0,19692430.0,21487795.0,0.0,43298816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6691.0,0.0,0.0,0.0,0.0,0.0,0.0,7700639744.0,1667280896.0,13268369408.0,77311320064.0,0.0,0.0
1556186765.270,29.386,6.238,62.571,0.095,0.0,1.710,3819255.0,2060210.0,8452339.0,2365700.0,0.0,0.0,946001.0,2740061.0,1071188.0,2747632.0,1155418.0,2745971.0,0.0,0.0,1028829.0,2746508.0,19748777.0,21556175.0,0.0,37117952.0,0.0,0.0,0.0,90112.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6372.0,0.0,0.0,0.0,8.0,0.0,0.0,7696519168.0,1667280896.0,13280227328.0,77303582720.0,0.0,0.0
1556186766.270,28.599,6.549,62.670,0.158,0.0,2.025,3826900.0,2054338.0,8451049.0,2361248.0,0.0,0.0,933806.0,2735351.0,1074153.0,2752359.0,1148167.0,2743166.0,0.0,0.0,1029589.0,2750220.0,19731165.0,21540655.0,0.0,36794368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6418.0,0.0,0.0,0.0,0.0,0.0,0.0,7697088512.0,1667280896.0,13292097536.0,77291143168.0,0.0,0.0
1556186767.270,30.233,6.600,61.376,0.063,0.0,1.728,3838024.0,2064167.0,8455542.0,2373954.0,0.0,0.0,945763.0,2742092.0,1069283.0,2748114.0,1149965.0,2745259.0,0.0,0.0,1028224.0,2743122.0,19758676.0,21575242.0,0.0,37720064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6575.0,0.0,0.0,0.0,0.0,0.0,0.0,7696896000.0,1667280896.0,13304745984.0,77278687232.0,0.0,0.0
1556186768.269,29.325,6.044,62.648,0.160,0.0,1.823,3820952.0,2055958.0,8451802.0,2364432.0,0.0,0.0,935158.0,2733021.0,1072108.0,2746181.0,1145766.0,2743610.0,0.0,0.0,1029602.0,2747811.0,19725561.0,21518840.0,0.0,36855808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6384.0,0.0,0.0,0.0,0.0,0.0,0.0,7697674240.0,1667280896.0,13316001792.0,77266653184.0,0.0,0.0
1556186769.270,28.658,5.764,63.689,0.064,0.0,1.825,3828537.0,2055136.0,8449151.0,2368247.0,0.0,0.0,939906.0,2741829.0,1065868.0,2744775.0,1156036.0,2749746.0,0.0,0.0,1025577.0,2746110.0,19733636.0,21550906.0,0.0,36548608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6263.0,0.0,0.0,0.0,0.0,0.0,0.0,7696715776.0,1667280896.0,13328977920.0,77254635520.0,0.0,0.0
1556186770.270,29.811,6.404,61.956,0.126,0.0,1.703,3816765.0,2060568.0,8450432.0,2356348.0,0.0,0.0,939173.0,2734602.0,1072106.0,2746684.0,1151395.0,2744890.0,0.0,0.0,1026918.0,2744778.0,19725004.0,21524396.0,0.0,37179392.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6399.0,0.0,0.0,0.0,3.0,0.0,0.0,7695974400.0,1667280896.0,13341900800.0,77242454016.0,0.0,0.0
1556186771.270,29.854,5.742,62.373,0.127,0.0,1.904,3824320.0,2051636.0,8450071.0,2361365.0,0.0,0.0,940382.0,2740338.0,1067711.0,2745177.0,1147087.0,2742280.0,0.0,0.0,1028354.0,2744668.0,19720775.0,21515706.0,0.0,36978688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6392.0,0.0,0.0,0.0,0.0,0.0,0.0,7696166912.0,1667280896.0,13353168896.0,77230993408.0,0.0,0.0
1556186772.270,31.129,5.599,61.088,0.158,0.0,2.025,3821789.0,2058192.0,8451375.0,2374931.0,0.0,0.0,937991.0,2734066.0,1068129.0,2743981.0,1148302.0,2742140.0,0.0,0.0,1025250.0,2742615.0,19712671.0,21532977.0,0.0,61911040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7381.0,0.0,0.0,0.0,0.0,0.0,0.0,7697608704.0,1667280896.0,13377564672.0,77205155840.0,0.0,0.0
1556186773.270,31.141,6.102,60.892,0.221,0.0,1.644,3835315.0,2068756.0,8455814.0,2372620.0,0.0,0.0,942688.0,2738686.0,1069239.0,2743320.0,1155907.0,2747020.0,0.0,0.0,1026778.0,2744769.0,19754447.0,21561172.0,8192.0,139640832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8342.0,0.0,0.0,0.0,0.0,0.0,0.0,7699529728.0,1667280896.0,13375926272.0,77204873216.0,0.0,0.0
1556186774.270,28.691,6.074,63.522,0.129,0.0,1.583,3816892.0,2046985.0,8451393.0,2359186.0,0.0,0.0,935364.0,2736353.0,1060829.0,2741771.0,1147302.0,2741744.0,0.0,0.0,1021669.0,2736762.0,19676530.0,21482024.0,0.0,36974592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6402.0,0.0,0.0,0.0,0.0,0.0,0.0,7697035264.0,1667280896.0,13385809920.0,77197484032.0,0.0,0.0
1556186775.270,28.961,6.062,63.149,0.096,0.0,1.732,3816280.0,2051236.0,8449587.0,2362073.0,0.0,0.0,931508.0,2729467.0,1066508.0,2742244.0,1140064.0,2735875.0,0.0,0.0,1022605.0,2740207.0,19666793.0,21469857.0,0.0,36847616.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6368.0,0.0,0.0,0.0,3.0,0.0,0.0,7696932864.0,1667280896.0,13398478848.0,77184917504.0,0.0,0.0
1556186776.270,28.997,6.187,62.754,0.127,0.0,1.935,3828744.0,2065450.0,8451958.0,2362243.0,0.0,0.0,938222.0,2736996.0,1074254.0,2750017.0,1160967.0,2753099.0,0.0,0.0,1027115.0,2746153.0,19757839.0,21565659.0,0.0,37023744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6389.0,0.0,0.0,0.0,0.0,0.0,0.0,7696666624.0,1667280896.0,13410545664.0,77173116928.0,0.0,0.0
1556186777.270,29.508,6.522,61.869,0.094,0.0,2.007,3818299.0,2052725.0,8452484.0,2372823.0,0.0,0.0,936124.0,2730113.0,1065275.0,2739945.0,1144637.0,2742204.0,0.0,0.0,1022990.0,2739860.0,19694025.0,21503240.0,0.0,37097472.0,0.0,0.0,0.0,19132416.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6406.0,0.0,0.0,0.0,40.0,0.0,0.0,7697154048.0,1667280896.0,13422018560.0,77161156608.0,0.0,0.0
1556186778.269,30.177,6.282,61.521,0.158,0.0,1.862,3823264.0,2053937.0,8450545.0,2361287.0,0.0,0.0,937665.0,2739195.0,1072260.0,2750467.0,1153452.0,2749240.0,0.0,0.0,1029814.0,2746076.0,19736844.0,21546087.0,0.0,37130240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444.0,0.0,0.0,0.0,0.0,0.0,0.0,7697670144.0,1667280896.0,13434236928.0,77148422144.0,0.0,0.0
