/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth25ef036 = 10000"
"netBandwidth.veth25ef036 = 12500000"
"netFullDuplex.veth25ef036 = full"
"netSpeed.veth3cfd72a = 10000"
"netBandwidth.veth3cfd72a = 12500000"
"netFullDuplex.veth3cfd72a = full"
"netSpeed.veth43c2c0b = 10000"
"netBandwidth.veth43c2c0b = 12500000"
"netFullDuplex.veth43c2c0b = full"
"netSpeed.veth61d4493 = 10000"
"netBandwidth.veth61d4493 = 12500000"
"netFullDuplex.veth61d4493 = full"
"netSpeed.veth6cf8177 = 10000"
"netBandwidth.veth6cf8177 = 12500000"
"netFullDuplex.veth6cf8177 = full"
"netSpeed.veth780f7ba = 10000"
"netBandwidth.veth780f7ba = 12500000"
"netFullDuplex.veth780f7ba = full"
"netSpeed.veth81a41d2 = 10000"
"netBandwidth.veth81a41d2 = 12500000"
"netFullDuplex.veth81a41d2 = full"
"netSpeed.vethb01d35b = 10000"
"netBandwidth.vethb01d35b = 12500000"
"netFullDuplex.vethb01d35b = full"
"netSpeed.vethb182e81 = 10000"
"netBandwidth.vethb182e81 = 12500000"
"netFullDuplex.vethb182e81 = full"
"netSpeed.vethccae9ea = 10000"
"netBandwidth.vethccae9ea = 12500000"
"netFullDuplex.vethccae9ea = full"
"netSpeed.vethec3264c = 10000"
"netBandwidth.vethec3264c = 12500000"
"netFullDuplex.vethec3264c = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth25ef036,veth3cfd72a,veth43c2c0b,veth61d4493,veth6cf8177,veth780f7ba,veth81a41d2,vethb01d35b,vethb182e81,vethccae9ea,vethec3264c,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 10:40:01 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth25ef036",,"net/veth3cfd72a",,"net/veth43c2c0b",,"net/veth61d4493",,"net/veth6cf8177",,"net/veth780f7ba",,"net/veth81a41d2",,"net/vethb01d35b",,"net/vethb182e81",,"net/vethccae9ea",,"net/vethec3264c",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
1556214202.551,49.591,6.824,40.818,0.314,0.0,2.453,10815294.0,5655644.0,2520411.0,7778532.0,2720309.0,7841072.0,2908246.0,7802291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25112544.0,6708830.0,0.0,0.0,0.0,0.0,2844315.0,7835824.0,54951631.0,60087299.0,0.0,50429952.0,0.0,63815680.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9046.0,0.0,10838.0,0.0,0.0,0.0,0.0,8050348032.0,1808273408.0,16629153792.0,73459834880.0,0.0,0.0
1556214203.551,49.137,7.157,40.895,0.288,0.0,2.524,10990643.0,5675893.0,2612659.0,7858708.0,2694120.0,7827235.0,2967335.0,7854543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25110563.0,6784221.0,0.0,0.0,0.0,0.0,2835551.0,7834124.0,55304227.0,60565105.0,0.0,57741312.0,0.0,70746112.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9388.0,0.0,11076.0,0.0,0.0,0.0,0.0,8051740672.0,1808281600.0,16665493504.0,73422094336.0,0.0,0.0
1556214204.551,54.859,7.407,35.043,0.633,0.0,2.058,10936263.0,5595638.0,2536383.0,7843719.0,2679017.0,7845807.0,2890859.0,7804553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25125707.0,6788339.0,0.0,0.0,0.0,0.0,2794306.0,7843222.0,54847061.0,60250543.0,0.0,165986304.0,0.0,182661120.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,892.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11634.0,0.0,14349.0,0.0,0.0,0.0,0.0,8050446336.0,1808281600.0,16700293120.0,73388589056.0,0.0,0.0
1556214205.551,49.570,7.204,40.485,0.319,0.0,2.423,10950277.0,5758388.0,2564275.0,7814534.0,2717227.0,7833703.0,2973826.0,7834885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25269486.0,6807944.0,0.0,0.0,0.0,0.0,2851061.0,7838382.0,55475457.0,60527575.0,0.0,52146176.0,0.0,65982464.0,0.0,106496.0,0.0,0.0,0.0,188.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9414.0,0.0,11289.0,0.0,8.0,0.0,0.0,8061894656.0,1808281600.0,16735055872.0,73342377984.0,0.0,0.0
1556214206.552,49.125,6.837,41.478,0.324,0.0,2.236,10971557.0,5726408.0,2558086.0,7808061.0,2697610.0,7829873.0,2978244.0,7874287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25126342.0,6788134.0,0.0,0.0,0.0,0.0,2839327.0,7834349.0,55246256.0,60510095.0,0.0,49586176.0,0.0,63836160.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8878.0,0.0,10835.0,0.0,0.0,0.0,0.0,8078868480.0,1808281600.0,16772485120.0,73287974912.0,0.0,0.0
1556214207.551,49.598,6.525,41.562,0.257,0.0,2.057,10947536.0,5683580.0,2571613.0,7833693.0,2694202.0,7824337.0,2960439.0,7851632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25137984.0,6796104.0,0.0,0.0,0.0,0.0,2823530.0,7835299.0,55217784.0,60470254.0,0.0,49446912.0,0.0,63000576.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8910.0,0.0,10697.0,0.0,0.0,0.0,0.0,8073928704.0,1808289792.0,16810369024.0,73255022592.0,0.0,0.0
1556214208.551,49.363,7.161,41.025,0.318,0.0,2.132,10930984.0,5656303.0,2552265.0,7800782.0,2693456.0,7827171.0,2950811.0,7831424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25117748.0,6783828.0,0.0,0.0,0.0,0.0,2802078.0,7814679.0,55062867.0,60302646.0,0.0,49975296.0,0.0,63041536.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8911.0,0.0,10678.0,0.0,0.0,0.0,0.0,8076836864.0,1808289792.0,16844120064.0,73218363392.0,0.0,0.0
1556214209.551,49.568,7.131,40.806,0.288,0.0,2.207,10959466.0,5714472.0,2574792.0,7833422.0,2727189.0,7857118.0,2971739.0,7839928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25129796.0,6788504.0,0.0,0.0,0.0,0.0,2864097.0,7861537.0,55385049.0,60612591.0,0.0,49537024.0,0.0,64663552.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8914.0,0.0,11050.0,0.0,0.0,0.0,0.0,8074711040.0,1808289792.0,16880050176.0,73184559104.0,0.0,0.0
1556214210.552,49.393,6.682,41.432,0.320,0.0,2.174,10987354.0,5686202.0,2574517.0,7842552.0,2722029.0,7846442.0,2943132.0,7843406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25136760.0,6819168.0,0.0,0.0,0.0,0.0,2836444.0,7841697.0,55304867.0,60596474.0,0.0,49917952.0,0.0,63021056.0,0.0,73728.0,0.0,0.0,0.0,120.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8927.0,0.0,10678.0,0.0,8.0,0.0,0.0,8072757248.0,1808289792.0,16917995520.0,73148567552.0,0.0,0.0
1556214211.552,48.895,7.562,40.852,0.320,0.0,2.371,10855215.0,5657800.0,2524732.0,7713774.0,2712394.0,7767348.0,2935349.0,7744956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24801517.0,6706096.0,0.0,0.0,0.0,0.0,2858901.0,7776981.0,54739681.0,59913013.0,0.0,48754688.0,0.0,63328256.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8742.0,0.0,10837.0,0.0,0.0,0.0,0.0,8075804672.0,1808289792.0,16953417728.0,73110097920.0,0.0,0.0
1556214212.551,48.451,7.956,40.952,0.261,0.0,2.380,11029487.0,5719233.0,2588332.0,7873461.0,2699503.0,7873962.0,2972413.0,7885712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25296002.0,6843701.0,0.0,0.0,0.0,0.0,2828809.0,7882435.0,55522380.0,60829670.0,0.0,56987648.0,0.0,71278592.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9173.0,0.0,11170.0,0.0,0.0,0.0,0.0,8077139968.0,1808302080.0,16987549696.0,73074618368.0,0.0,0.0
1556214213.551,55.485,7.683,34.240,0.664,0.0,1.929,10904202.0,5612267.0,2564161.0,7782101.0,2666202.0,7758816.0,2882826.0,7778349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24950688.0,6757366.0,0.0,0.0,0.0,0.0,2793119.0,7760736.0,54694076.0,59973235.0,0.0,173326336.0,0.0,190984192.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11871.0,0.0,14799.0,0.0,0.0,0.0,0.0,8075169792.0,1808310272.0,17028542464.0,73035587584.0,0.0,0.0
1556214214.551,49.083,7.462,40.978,0.289,0.0,2.187,10948884.0,5745116.0,2581984.0,7830575.0,2680741.0,7819732.0,3009060.0,7840145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25091761.0,6788143.0,0.0,0.0,0.0,0.0,2838488.0,7801452.0,55288688.0,60466980.0,0.0,51052544.0,0.0,66207744.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9125.0,0.0,11310.0,0.0,0.0,0.0,0.0,8072642560.0,1808310272.0,17061216256.0,73005441024.0,0.0,0.0
1556214215.551,49.045,6.539,41.632,0.356,0.0,2.428,11026035.0,5721311.0,2569394.0,7875723.0,2748054.0,7909861.0,2952294.0,7883614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25344800.0,6833722.0,0.0,0.0,0.0,0.0,2908593.0,7975367.0,55748942.0,61035044.0,0.0,49999872.0,0.0,64020480.0,0.0,24576.0,0.0,0.0,0.0,116.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9000.0,0.0,10906.0,0.0,3.0,0.0,0.0,8076791808.0,1808310272.0,17098477568.0,72964030464.0,0.0,0.0
1556214216.551,49.531,6.895,41.275,0.324,0.0,1.975,11003897.0,5717412.0,2577984.0,7862042.0,2712400.0,7877133.0,2976242.0,7854021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25297646.0,6848241.0,0.0,0.0,0.0,0.0,2822548.0,7862057.0,55482718.0,60732076.0,0.0,50135040.0,0.0,64339968.0,0.0,57499648.0,0.0,0.0,0.0,144.0,0.0,140.0,0.0,10828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9034.0,0.0,10946.0,0.0,117.0,0.0,0.0,8083193856.0,1808310272.0,17132638208.0,72923467776.0,0.0,0.0
1556214217.551,49.408,7.259,40.518,0.288,0.0,2.526,10905902.0,5663459.0,2549206.0,7771160.0,2709132.0,7795259.0,2934402.0,7824594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24959242.0,6761487.0,0.0,0.0,0.0,0.0,2832898.0,7795763.0,54936654.0,60198687.0,0.0,49790976.0,0.0,62271488.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8915.0,0.0,10524.0,0.0,0.0,0.0,0.0,8082526208.0,1808314368.0,17171062784.0,72885706752.0,0.0,0.0
1556214218.551,48.877,7.099,41.713,0.293,0.0,2.019,11012814.0,5750806.0,2592669.0,7874092.0,2729390.0,7892894.0,2980628.0,7884418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25307530.0,6831191.0,0.0,0.0,0.0,0.0,2855052.0,7884939.0,55642302.0,60876274.0,0.0,50827264.0,0.0,64065536.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9120.0,0.0,10865.0,0.0,0.0,0.0,0.0,8082939904.0,1808322560.0,17207275520.0,72849072128.0,0.0,0.0
1556214219.551,52.318,7.112,38.001,0.345,0.0,2.224,10914565.0,5654277.0,2557712.0,7782355.0,2699358.0,7795523.0,2929891.0,7795454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24964816.0,6768334.0,0.0,0.0,0.0,0.0,2823685.0,7792985.0,54929659.0,60199813.0,0.0,61280256.0,0.0,76193792.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9495.0,0.0,11678.0,0.0,0.0,0.0,0.0,8085364736.0,1808322560.0,17234042880.0,72819879936.0,0.0,0.0
1556214220.551,49.905,6.867,40.475,0.285,0.0,2.468,10961643.0,5694525.0,2572234.0,7866164.0,2717060.0,7884841.0,2961406.0,7870255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25275752.0,6789681.0,0.0,0.0,0.0,0.0,2844270.0,7879675.0,55425587.0,60656687.0,0.0,51265536.0,0.0,64176128.0,0.0,159744.0,0.0,0.0,0.0,100.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9229.0,0.0,10964.0,0.0,13.0,0.0,0.0,8084676608.0,1808322560.0,17267904512.0,72786706432.0,0.0,0.0
1556214221.552,50.652,6.841,40.312,0.318,0.0,1.877,10911850.0,5664543.0,2566703.0,7824411.0,2697500.0,7783897.0,2928344.0,7777083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24953467.0,6761358.0,0.0,0.0,0.0,0.0,2818379.0,7823972.0,54905616.0,60218635.0,0.0,50765824.0,0.0,64606208.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,168.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,9256.0,0.0,11146.0,0.0,0.0,0.0,0.0,8083570688.0,1808330752.0,17312952320.0,72742756352.0,0.0,0.0
1556214222.551,54.796,7.892,34.424,0.674,0.0,2.214,10786877.0,5514554.0,2525951.0,7695470.0,2641644.0,7739266.0,2891853.0,7752963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24898302.0,6653643.0,0.0,0.0,0.0,0.0,2727578.0,7695938.0,54243552.0,59358340.0,0.0,186859520.0,0.0,203964416.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12026.0,0.0,14829.0,0.0,0.0,0.0,0.0,8080674816.0,1808338944.0,17340137472.0,72718458880.0,0.0,0.0
1556214223.552,50.506,7.111,39.886,0.348,0.0,2.149,10853347.0,5734861.0,2556200.0,7799470.0,2741077.0,7841259.0,2957829.0,7804189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25090700.0,6721428.0,0.0,0.0,0.0,0.0,2883127.0,7836776.0,55198704.0,60274643.0,0.0,52105216.0,0.0,66891776.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9417.0,0.0,11471.0,0.0,0.0,0.0,0.0,8080896000.0,1808338944.0,17374007296.0,72684367872.0,0.0,0.0
1556214224.551,48.689,6.361,42.328,0.262,0.0,2.361,11037056.0,5671668.0,2547770.0,7802541.0,2716549.0,7858332.0,2937563.0,7825772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25117656.0,6855314.0,0.0,0.0,0.0,0.0,2842133.0,7851351.0,55259184.0,60580025.0,0.0,50565120.0,0.0,63647744.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9075.0,0.0,10839.0,0.0,0.0,0.0,0.0,8081711104.0,1808338944.0,17411493888.0,72646066176.0,0.0,0.0
1556214225.551,49.984,7.439,40.298,0.348,0.0,1.931,10907756.0,5717155.0,2594185.0,7866479.0,2716788.0,7878133.0,2968634.0,7833666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25290255.0,6765689.0,0.0,0.0,0.0,0.0,2833624.0,7871146.0,55428445.0,60569947.0,0.0,50245632.0,0.0,64352256.0,0.0,24576.0,0.0,0.0,0.0,96.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9090.0,0.0,10971.0,0.0,3.0,0.0,0.0,8083099648.0,1808338944.0,17446551552.0,72609619968.0,0.0,0.0
1556214226.551,50.063,6.776,40.690,0.253,0.0,2.217,11017084.0,5724701.0,2585430.0,7880626.0,2732468.0,7898292.0,2954280.0,7886730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25139586.0,6832446.0,0.0,0.0,0.0,0.0,2851362.0,7902708.0,55437083.0,60898474.0,0.0,50962432.0,0.0,64110592.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9144.0,0.0,10869.0,0.0,0.0,0.0,0.0,8082124800.0,1808338944.0,17484730368.0,72572416000.0,0.0,0.0
1556214227.551,49.713,6.956,40.715,0.351,0.0,2.265,10920160.0,5663769.0,2541964.0,7763997.0,2712156.0,7803888.0,2935536.0,7817667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25119731.0,6777254.0,0.0,0.0,0.0,0.0,2847804.0,7801392.0,55132037.0,60238908.0,0.0,50110464.0,0.0,63610880.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9078.0,0.0,10901.0,0.0,0.0,0.0,0.0,8082432000.0,1808338944.0,17518903296.0,72537935872.0,0.0,0.0
1556214228.551,49.287,7.163,40.697,0.285,0.0,2.567,10915468.0,5676861.0,2551289.0,7808657.0,2701183.0,7824801.0,2924421.0,7817199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25121785.0,6762876.0,0.0,0.0,0.0,0.0,2820552.0,7819041.0,55067511.0,60267887.0,0.0,50479104.0,0.0,63881216.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9050.0,0.0,10933.0,0.0,0.0,0.0,0.0,8081010688.0,1808351232.0,17555529728.0,72502718464.0,0.0,0.0
1556214229.551,49.538,7.009,40.745,0.287,0.0,2.421,10934248.0,5690173.0,2586769.0,7797572.0,2702965.0,7798559.0,2968065.0,7802419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24966940.0,6773120.0,0.0,0.0,0.0,0.0,2829240.0,7800021.0,55093966.0,60335153.0,0.0,50008064.0,0.0,63627264.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9019.0,0.0,10820.0,0.0,0.0,0.0,0.0,8082022400.0,1808355328.0,17591869440.0,72465362944.0,0.0,0.0
1556214230.552,49.826,6.787,40.913,0.285,0.0,2.188,11001694.0,5674964.0,2558814.0,7857248.0,2702663.0,7834408.0,2936868.0,7840209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25126418.0,6805268.0,0.0,0.0,0.0,0.0,2836845.0,7890793.0,55215427.0,60602200.0,0.0,50380800.0,0.0,63369216.0,0.0,57344.0,0.0,0.0,0.0,104.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9113.0,0.0,10829.0,0.0,7.0,0.0,0.0,8082911232.0,1808355328.0,17631764480.0,72424579072.0,0.0,0.0
1556214231.551,55.598,8.015,33.810,0.636,0.0,1.940,10857651.0,5599710.0,2521296.0,7742573.0,2698106.0,7825600.0,2888554.0,7798910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25098226.0,6718501.0,0.0,0.0,0.0,0.0,2796354.0,7782807.0,54779553.0,59931579.0,0.0,185954304.0,4096.0,196870144.0,0.0,57499648.0,0.0,0.0,0.0,856.0,0.0,700.0,0.0,12336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12260.0,1.0,15015.0,0.0,122.0,0.0,0.0,8079982592.0,1808371712.0,17907167232.0,72152088576.0,0.0,0.0
1556214232.551,50.707,7.477,39.303,0.346,0.0,2.168,10946163.0,5730386.0,2557192.0,7811099.0,2702760.0,7826495.0,2958220.0,7817686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25121193.0,6794204.0,0.0,0.0,0.0,0.0,2842355.0,7828492.0,55218785.0,60411148.0,0.0,61865984.0,0.0,84353024.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9729.0,0.0,12157.0,0.0,0.0,0.0,0.0,8084131840.0,1808371712.0,17698254848.0,72356851712.0,0.0,0.0
1556214233.551,49.304,7.247,40.861,0.324,0.0,2.265,11037345.0,5754736.0,2587111.0,7866553.0,2731967.0,7896187.0,2977538.0,7872603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25291186.0,6842274.0,0.0,0.0,0.0,0.0,2897771.0,7918802.0,55702524.0,60956376.0,0.0,50921472.0,0.0,64507904.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9214.0,0.0,11056.0,0.0,0.0,0.0,0.0,8083865600.0,1808371712.0,17735446528.0,72319926272.0,0.0,0.0
1556214234.551,49.984,6.643,40.936,0.285,0.0,2.151,10889095.0,5656455.0,2558326.0,7809291.0,2705182.0,7847051.0,2933689.0,7776592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25115324.0,6723678.0,0.0,0.0,0.0,0.0,2845368.0,7856898.0,55099512.0,60262499.0,0.0,50016256.0,0.0,63434752.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9072.0,0.0,10859.0,0.0,0.0,0.0,0.0,8082956288.0,1808371712.0,17769324544.0,72286957568.0,0.0,0.0
1556214235.552,48.931,6.898,41.483,0.324,0.0,2.364,10897967.0,5669439.0,2557055.0,7757682.0,2706738.0,7790499.0,2932869.0,7821790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24962030.0,6755954.0,0.0,0.0,0.0,0.0,2825619.0,7801801.0,54934009.0,60174873.0,0.0,50774016.0,0.0,63623168.0,0.0,86016.0,0.0,0.0,0.0,180.0,0.0,172.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9158.0,0.0,10879.0,0.0,8.0,0.0,0.0,8086351872.0,1808371712.0,17807867904.0,72245018624.0,0.0,0.0
1556214236.551,49.540,6.252,41.415,0.317,0.0,2.475,10942325.0,5682187.0,2547042.0,7834923.0,2714478.0,7873132.0,2959282.0,7857998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25262859.0,6788886.0,0.0,0.0,0.0,0.0,2848902.0,7881285.0,55334827.0,60539054.0,0.0,51261440.0,0.0,64856064.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,168.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9245.0,0.0,11026.0,0.0,0.0,0.0,0.0,8084344832.0,1808371712.0,17843466240.0,72211427328.0,0.0,0.0
1556214237.551,49.423,7.047,40.903,0.288,0.0,2.338,11005600.0,5718907.0,2590755.0,7875450.0,2724716.0,7894948.0,2958363.0,7874588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25297642.0,6823051.0,0.0,0.0,0.0,0.0,2844106.0,7886173.0,55548380.0,60817867.0,0.0,50642944.0,0.0,64241664.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9129.0,0.0,10972.0,0.0,0.0,0.0,0.0,8083943424.0,1808371712.0,17881096192.0,72174198784.0,0.0,0.0
1556214238.551,49.727,6.701,41.135,0.321,0.0,2.116,10947513.0,5663065.0,2551082.0,7760157.0,2726049.0,7854746.0,2927902.0,7806049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25074953.0,6798194.0,0.0,0.0,0.0,0.0,2828197.0,7841676.0,55103408.0,60356040.0,0.0,50438144.0,0.0,63000576.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9103.0,0.0,10715.0,0.0,0.0,0.0,0.0,8085934080.0,1808371712.0,17915412480.0,72137891840.0,0.0,0.0
1556214239.551,48.960,7.328,41.280,0.256,0.0,2.176,10839276.0,5646487.0,2551260.0,7803360.0,2679531.0,7758540.0,2955556.0,7791725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24976421.0,6707592.0,0.0,0.0,0.0,0.0,2804392.0,7761671.0,54807086.0,59941519.0,0.0,50294784.0,0.0,64049152.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9131.0,0.0,10937.0,0.0,0.0,0.0,0.0,8083066880.0,1808375808.0,17955905536.0,72100261888.0,0.0,0.0
